,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x,ele_x,Id
311,-1.7352971999999909,-3.3462142999999855,-4.350420299999996,-4.297458800000015,-6.659535500000004,-8.817414499999984,-8.935295300000007,-7.908582299999978,-6.547140899999988,-4.453600699999981,-3.287584200000026,-2.5818703000000482,-0.7425216000000319,-0.9028114999999843,-1.1165325000000053,-1.162588200000016,-1.0687455999999997,-0.907018800000003,-1.700307500000008,-1.9391982999999868,-1.4005747000000497,-1.0694020999999907,-0.6972759000000224,-0.68943680000001,0.009186376000000163,0.40561241300000006,2.0161891359999995,3.548549661,3.0690182399999992,2.390530332,2.018152489,0.49760132800000023,-0.005785036999999882,-0.06357880199999999,-0.05545638800000002,-0.04558424699999997,-0.05218990300000001,-0.06102813700000001,-0.06532753399999999,-0.061888363,-0.060782082000000015,-0.06065695700000001,-0.057683470999999986,-0.047751606999999974,-0.04437761400000001,4.511917999999923,3455
313,-2.088232900000037,-3.8582701999999927,-5.164374399999986,-6.852058600000021,-9.131796299999962,-10.304292999999973,-11.24227430000002,-11.810716200000002,-9.419144899999992,-6.110529299999996,-5.37695530000002,-3.892552499999965,-0.47069299999998293,-0.8930287000000021,-1.1206052999999656,-1.4570720000000392,-1.7136948000000416,-1.755606499999999,-2.1204051999999933,-2.204387699999984,-1.8243697999999995,-0.9721892000000025,-0.033777999999983876,0.01887189999996508,0.09212878499999988,0.6637715789999998,2.3967389279999995,3.089032611,3.586629852,3.180768952,2.321163835,0.410351932,0.11614137800000002,-0.07130827399999998,-0.05330635899999997,-0.04133604000000002,-0.04718549899999999,-0.053771024,-0.049001797999999985,-0.051385774999999995,-0.05648173100000001,-0.056999829,-0.05341589399999999,-0.05194808100000001,-0.055158099000000016,-1.5144250000000739,2111
317,0.23460670000002892,0.3989925999999855,-0.17080800000002228,-0.79040040000001,-1.1052288000000203,-5.945128899999986,-9.01380039999998,-7.927322199999992,-4.440430899999967,-1.9169289000000163,-0.10223689999997987,0.5686656000000312,-0.29333919999999125,-0.19767860000001747,-0.9513120000000299,-1.0395849000000226,-0.6549726000000078,-0.9375188000000207,-1.6193006999999966,-1.723072200000047,-1.1794559000000504,-0.9623672999999826,-0.21261679999997796,-0.07093879999999331,-0.9608929480000006,-0.5861925749999997,0.04498091599999965,7.256949332,13.584597974,14.393385824,5.828786957999999,0.023637338999999535,-0.5504769779999998,0.002671992000000012,-0.001751636999999917,-0.015234885999999975,0.013702293000000004,0.021710958000000002,0.021965341,0.02833069100000002,0.025004317999999998,0.016973632999999988,0.017829508999999993,-0.0008417629999999954,0.01023470500000001,-42.94229640000003,25034
318,0.03590710000003128,-0.27939720000000534,-1.4476450000000227,0.5500557999999955,-0.6337654000000157,-3.193119300000035,-6.0427111000000195,-4.762290700000051,-1.217708499999958,1.1722137999999518,0.412094599999989,-0.14648030000000745,-2.771114100000034,-2.0058169000000134,-0.6294506999999498,-0.5216920999999957,-0.5107995999999844,-0.6385948999999869,-1.0912056000000234,-0.996785100000011,-0.4779283000000305,-0.47038300000002664,-1.1942237999999747,-2.24804069999999,-0.05961623299999985,-0.016132119999999972,1.9961356720000003,7.8626790369999995,14.093492322,11.332105827,2.561805789,-0.13129815999999916,-0.16066465399999963,0.107371687,0.06320934499999997,0.03615001900000003,0.03411609900000001,0.02806093500000001,0.022887976999999976,0.021394202,0.024343388999999993,0.029863841000000002,0.032577489000000015,0.03399021600000002,0.10696149199999994,-24.237232900000095,27069
319,-0.44173669999997855,-0.6478948000000173,-0.7248596999999677,-1.4505921000000512,-1.8626471000000038,-3.110156599999982,-4.072862900000018,-3.3406846000000314,-2.011825799999997,-0.9291850999999838,-0.5743987000000175,-0.32994750000000295,0.8324254999999994,0.8004626999999687,0.599429500000042,0.4462590999999634,0.44634719999999106,0.19778769999999213,-0.20141690000002654,-0.08800560000003088,0.23405289999999468,0.49073359999999866,0.676624199999992,0.7893872999999871,0.1449721949999998,0.07644666900000008,0.4181441269999999,1.645974281,3.7964364989999995,2.126650195,0.6490835630000005,0.01430730399999991,0.4468381170000004,-0.04088588900000001,-0.062338791000000005,-0.028655861000000005,-0.02395628500000002,-0.025596757999999997,-0.02706823499999997,-0.02790340699999999,-0.030449778999999982,-0.03415658499999999,-0.03324187399999998,-0.042368774,-0.042548874999999986,1.6611579999998867,8557
320,0.4690347000000088,0.5305177999999842,1.880555500000014,1.7063625000000116,0.2751880000000142,-1.3972193999999831,-3.4032536999999934,-2.866882500000031,-0.2438716999999997,0.8304393000000232,1.2785587000000191,0.35731169999996837,-0.4165232999999944,-0.28348789999998303,-0.2176332999999886,-0.7439312999999856,-0.45152250000001004,-0.3601605000000063,-0.602917199999979,-0.7746980000000008,-0.5496112000000153,-0.223934799999995,-0.26245899999997846,-0.3087291999999877,-0.021586585000000102,0.06157366899999994,0.467369116,3.411873495,8.155290649,6.916710478000001,1.8759022879999998,0.08811315599999947,-0.2076142549999993,-0.03915191200000001,-0.03667472999999999,-0.060910858999999984,-0.03699811899999997,-0.03518500499999999,-0.037857316,-0.04330561399999999,-0.044200188,-0.045220518000000015,-0.04922753100000002,-0.072556083,-0.058205461999999986,-19.962205100000006,27673
323,-1.3285081000000218,-2.326621999999986,-2.346171400000003,-1.9189185999999836,-4.184967400000005,-6.694406100000037,-7.422031299999958,-5.634603499999969,-3.327195500000016,-1.8092169999999896,-1.782960199999991,-1.3764793000000282,-0.6164494999999874,-0.7345982999999592,-1.2998625000000175,-1.5829630999999722,-1.1919315000000097,-1.4082301000000257,-1.998829999999998,-1.9307610000000182,-1.8636597999999935,-1.7918803999999682,-1.1350069000000076,-0.5184260999999992,0.033485272000000066,0.016605193999999823,0.5828452130000001,2.8392995480000005,3.898833559999999,2.4586771129999994,0.4306506929999996,0.0918021600000003,0.04756032600000015,-0.019913301999999966,-0.017269074999999967,-0.017162836999999986,-0.018059665000000003,-0.019050535000000007,-0.025663358999999997,-0.026659937999999994,-0.027267339,-0.026988896000000012,-0.018711470000000008,-0.02193788299999999,-0.02338800299999999,-30.00946399999998,6979
324,-1.8386650000000486,-2.8596279999999865,-3.691168100000027,-3.7269117000000165,-5.750996100000009,-8.80530060000001,-9.488766800000008,-7.053815400000019,-4.833705800000018,-2.9515638999999965,-2.7198493000000212,-2.2359275000000025,-0.0701825999999528,-0.03427289999996219,-0.6841119000000049,-0.7580816000000254,-0.5130872000000295,-0.8043160999999941,-1.3979716000000053,-1.314045099999987,-1.3114830000000097,-1.20929000000001,-0.07161139999999477,0.41032330000001593,-0.15963340900000045,-0.13952962199999996,1.3348384799999997,6.244144135,8.476685781,4.301675445,1.101154909,0.01726054399999999,-0.0419237739999998,0.010931155000000026,-0.015717720999999962,-0.028995511,-0.02490419799999999,-0.030040528999999982,-0.039462577,-0.039210998999999996,-0.035654139,-0.03889832300000001,-0.033410105999999995,-0.027776389999999984,-0.01392160900000003,-12.83360300000004,4291
325,0.4986814000000095,-0.4579215999999633,-1.747808099999986,-1.8394235000000094,-2.0221045000000117,-4.6305642000000375,-7.0366591000000085,-6.377271600000029,-3.977118399999995,-2.443852399999969,-1.525904300000036,-0.09111450000000332,-1.271605600000015,-1.3581687000000215,-1.521156700000006,-1.4606509999999844,-1.3332705999999916,-1.702753400000006,-2.2539266999999654,-2.222865000000013,-1.8292475999999738,-1.645003700000018,-1.4812777999999867,-1.3833397000000218,0.31748357699999996,0.27698000599999983,0.397368508,1.5624054629999993,3.7216701389999995,2.784765310000001,0.698277655,0.23566592499999972,0.2039062430000005,-0.11991691399999993,-0.08020984799999997,-0.009602587000000024,-0.01118544299999999,-0.016362928,-0.023894404000000008,-0.027373065999999974,-0.02949086099999998,-0.028967193000000002,-0.019942028999999972,-0.015105972000000023,-0.09427872799999998,-20.847261000000117,19904
326,0.4232576999999935,0.40665749999999434,-1.28676710000002,-1.9042499000000248,-4.153519200000005,-9.519836699999985,-14.070155499999998,-13.101927499999988,-7.195882900000015,-2.873423100000025,-0.36449240000001737,0.9282469999999989,0.9613142000000039,0.21455570000000534,-0.29632170000002134,-0.3777182000000039,0.5564051000000063,0.00409580000001597,-1.56094470000005,-1.8755223999999657,-1.1863369999999804,-0.4438840999999911,0.29559840000001714,0.6226719000000003,-0.02031440600000023,-0.11431255400000007,0.140360166,6.389727599,12.446444285,15.489104093,7.187168209999999,0.8770880540000001,-0.8265571429999996,0.017619274000000074,0.012584503000000025,-0.006908175999999988,0.02113762999999999,0.033477725000000014,0.03467015500000001,0.043655711000000014,0.03755986,0.028537054999999978,0.022874011,0.008500261000000009,0.004014234999999977,-8.452314299999955,25689
