Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest
0.307068629,0.262123383,0.215626762,0.181796337,0.167360048,0.161376391,0.158184246,0.157322145,0.152750519,0.171578263,0.274057545,0.325586705,6.214559701,5.636863734,6.375319387,10.54219342,18.18355748,15.52590187,9.309202533,6.258413211,5.987571547,6417,274.7457017,281.2166896,289.596827,296.8665281,301.950704,303.2781928,303.1262799,299.5023552,294.949301,289.4678743,280.671624,273.7626169,255.349803,258.0711052,264.2990987,269.3875181,274.5562685,279.7843726,282.5585225,281.0238276,275.8937332,269.3633963,262.7454755,256.917904,5,2563.255596,37
0.258621623,0.26932492,0.224563623,0.179452373,0.140267152,0.140567043,0.176208543,0.182926118,0.174800367,0.198752916,0.276464372,0.259051802,9.260824398,9.685965005,11.34492255,14.64554014,24.40768211,18.94994449,12.09972697,8.248562755,7.130005805,5439,276.3760732,282.9141573,289.9195396,294.9828699,300.4599222,301.2731728,295.2838539,292.3175808,290.7728072,286.8088025,280.2617565,276.178418,251.2566282,253.3837375,259.6781183,265.4159598,269.5185429,274.6329882,277.8272786,276.0668743,271.2342218,264.9301493,258.4808251,252.8912548,5,3055.698611,59
0.594956703,0.586880479,0.299921654,0.15731159,0.167396353,0.16655455,0.167425048,0.163286017,0.163416805,0.161476455,0.239228537,0.52469576,4.537808822,7.37782677,17.08795648,24.31988755,22.62818486,16.88308843,7.252172268,3.532370073,4.597104455,22543,264.9952134,270.6228952,289.3349134,301.2329384,302.766276,305.1671647,306.4221144,306.216194,301.0494968,292.2978,280.6024959,267.3433532,256.832734,261.0915922,271.9148314,279.0232605,282.9603582,287.1437798,288.7865745,287.0510091,281.7527148,274.9458902,268.3732361,259.8426872,6,942.9615801,5
0.383713181,0.268122818,0.221218727,0.208913996,0.207939378,0.201687905,0.191356115,0.189922034,0.184609351,0.191696903,0.250607615,0.343797388,5.456403529,4.445742879,4.419071113,7.364592354,12.70179377,9.385570296,6.674464917,5.397479516,5.866292059,7261,275.4738058,284.1315474,294.52491,301.7424711,308.0371415,309.8214686,309.2118762,306.6024177,300.6018853,294.0588688,283.9744845,275.6719917,252.1016766,256.7078164,262.969373,269.0202178,273.8387532,279.9411832,283.4688278,281.7185266,275.1773385,268.031881,261.007414,253.6739489,6,2064.904519,5
0.68246453,0.687073639,0.48970526,0.199280793,0.193699455,0.189546292,0.184862844,0.187608471,0.196820681,0.244311215,0.45333043,0.637991692,4.944698056,4.479502049,4.251319244,5.119767493,7.569222381,6.032769659,3.639737397,4.658832548,5.943057694,22659,258.8053225,265.1303828,278.2576274,296.5849599,303.328784,307.6903218,307.1548339,305.2129805,298.4309826,285.5451263,271.2369517,261.0081147,248.1921511,251.1019875,261.4834933,268.5852417,272.8756465,278.841484,281.6554121,279.2038199,272.7286555,265.4490771,257.044926,250.3637833,6,2033.614589,7
0.256413015,0.248978614,0.226685793,0.216874775,0.200850457,0.18714823,0.180648757,0.181581645,0.188798806,0.208542983,0.224323289,0.240100016,1.056648479,1.003136155,1.594308497,2.929697768,4.561997829,5.119416664,4.141758234,1.751490165,3.076129139,10830,278.4210916,286.750593,297.9448524,306.9003155,313.2699756,316.6401928,314.7824234,311.5675404,305.940443,298.766246,288.1453816,278.7799402,256.9554095,263.7322786,272.1819379,278.3864527,283.3684214,288.0551049,289.8825024,288.491961,283.3232996,274.7173534,266.5231404,259.4346401,6,1141.752941,8
0.266675365,0.249448192,0.211260011,0.218202438,0.214862775,0.201779527,0.199958781,0.203408524,0.209440741,0.226533282,0.243337868,0.261469901,1.327725367,0.664285714,0.940812785,1.631300345,2.47278481,4.766875,3.3,1.474694915,4.531491228,19279,274.4200292,283.5329173,295.2573677,306.5184275,315.2365895,320.97146,322.2815132,317.8480948,309.4524916,297.6349821,284.7042856,274.0335649,254.8355416,261.0307525,270.6497681,277.7534091,283.2864689,290.0956983,293.4369831,289.9885808,282.0140142,272.9620263,264.0446148,256.0517431,6,957.1666667,9
0.201651332,0.2090238,0.18855223,0.167675844,0.161025542,0.15647947,0.152072416,0.150913238,0.1481,0.158810251,0.171196928,0.188825336,6.907452254,6.27931961,6.511820696,8.538300588,11.89704797,12.12657868,9.59968587,7.395354404,6.850939155,4741,278.2620484,284.2450869,291.0653962,298.5354362,303.3684655,305.1138955,305.1815504,301.8028589,295.9874294,291.1231441,283.4949755,277.8751289,255.1861505,257.528197,263.2296362,268.2661492,273.2368421,278.4110863,281.5867035,280.2167297,274.6115117,268.7899209,262.3864512,256.8216792,6,2734.666667,9
0.59491049,0.599095609,0.511103874,0.197275774,0.134164656,0.158324411,0.167677443,0.163674515,0.158185307,0.190182125,0.467515607,0.598138104,7.94752822,10.17421209,13.2546612,23.35007589,24.66022236,12.9420225,7.905621872,6.600766334,5.716715198,22384,269.0057656,273.3570429,285.5411257,297.9613079,300.4356042,299.6505595,300.6232431,303.5795386,299.1762568,290.5910939,276.07895,268.8001039,260.7151937,262.7864767,269.2060877,274.9002438,279.3389006,283.8319025,285.8475592,284.6189683,279.7538502,273.2016989,266.7780792,262.191161,6,1508.108297,10
0.336455187,0.255840449,0.217862068,0.185774423,0.181315151,0.180109111,0.176020807,0.17922133,0.170873285,0.176095919,0.228310127,0.334031994,6.746724091,6.189429693,6.938482919,11.56579162,13.62556738,10.67094851,8.858347537,6.872542677,6.420766602,6958,274.7854735,282.884335,292.4359745,300.5104726,304.5139089,304.5246991,305.9056215,305.3942444,299.7112803,292.987054,282.7719388,274.388803,256.4414538,259.8085319,266.3202618,272.2316357,276.8475683,282.89108,285.6039303,283.3548999,277.6931179,270.7683124,264.3061582,257.8786855,6,2180.027644,14
0.699331028,0.718703479,0.570610842,0.226289096,0.176563491,0.172375558,0.172433687,0.178592993,0.188057028,0.209994245,0.47350587,0.679901556,4.90581353,4.814739932,5.525987476,12.81960124,14.92337299,6.265594215,3.526846441,4.790397788,5.282456779,27514,254.6034756,261.4065674,277.8413277,298.1904006,304.8114939,306.6007275,307.1466147,306.6001523,299.810358,287.6203231,269.3352338,255.9355455,245.0628253,248.6521363,262.0875954,270.7450918,277.1375236,283.6641885,285.5978509,282.6396578,275.2547004,267.5100724,256.2661413,247.6110783,6,1239.234841,15
0.235475817,0.230124854,0.191806381,0.171338493,0.162606868,0.160554931,0.161224768,0.163450786,0.159264777,0.169743666,0.232578071,0.223041027,8.990222116,9.006107977,9.302870744,11.99091989,17.76867744,15.80540183,11.39921426,8.563220445,7.469798975,3182,279.0598564,284.5539622,291.3010537,297.4712078,301.1607396,302.5562194,302.3008971,299.2455327,294.2756962,289.8475771,283.4048045,278.9713184,253.7686286,256.4880391,262.109751,267.070705,271.6385052,276.1434764,279.6818845,278.1719396,273.5586968,267.759952,261.2537803,255.3073608,6,2853.537037,15
0.205602308,0.200085376,0.165962595,0.156084905,0.153928677,0.152285926,0.149228424,0.146988951,0.142472426,0.142056239,0.175656908,0.183742097,8.881211957,8.757795735,9.010780403,11.9689136,17.80405836,15.34861844,11.08765928,8.661628789,7.585859132,2771,277.8131048,284.4761847,291.1990401,298.5183145,302.8233016,303.5977408,303.0422894,299.5850795,293.8911012,288.9429097,282.4539807,277.7925591,254.8446813,257.977013,263.8865347,268.3713214,273.0790333,277.4714496,281.1811004,279.4033334,274.9117901,269.3840317,262.8878449,256.478853,6,2693.665633,20
0.340302226,0.292775102,0.223669449,0.200304353,0.200007789,0.194803942,0.192052456,0.18932465,0.18680848,0.191174442,0.224707903,0.328633763,4.059855279,3.548458396,3.854197721,6.50153126,8.829359072,7.92446622,5.569306729,4.017373081,4.838951563,9590,271.100553,278.950632,290.7986766,300.2709063,305.8320486,308.0780715,308.8167296,305.7677322,299.9405959,291.8852705,281.2128545,271.2116894,257.1167123,261.3480385,268.1375053,274.2790718,279.2436729,284.9069223,287.6267006,285.5542082,279.592728,272.2569765,265.518786,258.5882801,6,1944.561955,20
0.242433409,0.218021698,0.195052794,0.184777405,0.18047774,0.176202842,0.171809006,0.169601771,0.168171367,0.174859091,0.196532978,0.211418018,8.65752137,8.27133609,8.282565888,10.6035137,15.07765215,13.77759657,10.80019095,8.466885667,7.553822599,3184,280.0147794,286.4517353,294.0509743,300.8528985,304.6578477,305.1546302,304.684803,301.0525728,296.2117718,292.2642058,285.5832518,280.3325443,253.8707802,257.1126587,262.9503762,267.647331,272.1201516,277.4259418,280.5018237,279.1314593,274.4067077,268.3504787,261.9128541,255.5261899,6,2782.585663,28
0.292904637,0.272716146,0.26157695,0.245804179,0.23641295,0.225760368,0.220891353,0.221205972,0.227703218,0.244082055,0.265045064,0.276737068,1.89564769,1.431596931,1.690949393,3.459357261,5.483583528,6.149124336,3.883557421,1.931613615,3.374178368,13250,274.7571093,284.891687,297.3376751,307.2255716,314.6928542,318.6005543,319.1688238,315.3799579,307.7779124,297.9880289,285.2866348,275.6415954,254.8787822,260.5121123,268.8583509,275.4447985,280.9433215,287.4103856,290.6074378,287.9082248,280.791881,271.5046429,263.696347,256.5622569,6,1234.91634,37
0.581597586,0.567863459,0.393322511,0.201039183,0.181099526,0.179943089,0.179069308,0.181451298,0.185727929,0.206889221,0.327977466,0.520529859,6.335125828,5.427797527,5.604601359,7.637275294,8.155544683,7.294514868,5.589145201,5.576243361,6.366145466,18782,268.3529573,273.6902526,288.88371,297.8264398,301.5560787,304.6626843,305.3570839,303.6874166,298.4207279,291.3416394,280.2220565,270.2827866,255.4847176,261.0477543,269.5454485,275.1389679,279.4923227,283.6852346,286.0057337,284.656284,280.0183388,272.7443633,265.5802725,257.8818806,7,1851.798896,5
0.70535666,0.720689656,0.488481301,0.176008239,0.180503919,0.181276687,0.180881554,0.183421164,0.189090137,0.197838232,0.369806643,0.657059051,6.879637949,6.456597409,6.358094416,13.05218232,20.2280154,14.48309368,5.43879085,4.696741214,5.559802008,27257,260.1330782,265.3692436,280.8402865,300.3954405,306.6339852,309.5233553,307.8561086,306.6920541,300.940066,290.2997576,274.2393615,262.3281413,251.6182186,254.5765521,267.4757628,275.8971811,281.3626124,287.2340479,288.9787876,286.5074713,279.2025991,271.7523451,263.7489582,254.6533487,7,661.0142529,6
0.662504801,0.680294832,0.5048732,0.215582297,0.172683087,0.163188013,0.165625443,0.171455108,0.183214674,0.214253998,0.454077272,0.639204219,4.161972916,4.016938219,5.065133358,16.13843872,19.5012458,10.70113649,4.053570628,4.185216403,4.729531157,27234,254.0377137,260.7225053,278.0960144,296.5257075,302.6839782,304.2517057,304.5811636,303.6705133,298.1798305,286.6757061,268.7230843,255.945525,243.369993,247.5271038,262.0513421,272.634715,278.2521877,284.737859,286.3259003,283.2669524,275.6603488,267.8043859,256.3347441,246.5491876,7,1119.855381,9
