Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,unuse
0.223422473,0.207653795,0.17428427,0.179364974,0.155205978,0.142242357,0.150461843,0.149807406,0.157221369,0.174001913,0.168597602,0.190602986,3.281252769,2.405016104,3.778961302,10.32645372,19.26561842,16.46603464,7.248134574,4.305172194,5.672000523,7314,276.5352856,284.2633198,293.5793243,302.6936949,304.4629481,305.2326236,304.9784723,302.8359644,299.3152818,293.4542357,282.6785653,275.9712901,258.5553115,263.1405836,270.4854505,276.9811102,283.8288643,289.4592807,291.6277542,289.0750903,282.5160481,274.8576514,269.7013202,261.2531703,61,1106.58075,8
0.263632552,0.253317544,0.234705737,0.222873787,0.212477465,0.202129626,0.197331582,0.195013257,0.20259246,0.216521991,0.234433898,0.251715998,1.947853175,1.274462608,2.437398194,7.383678483,9.104528265,7.408483984,3.738450472,1.827378035,3.681956558,13606,274.3250341,283.2119799,293.9703477,304.3159701,308.8478918,309.2474083,309.5940919,308.8855296,304.1299143,295.412663,283.3052896,274.7741015,255.7939729,260.9476229,268.8770047,275.8663657,281.2483464,286.9325113,289.1344792,286.7821963,280.2341892,271.90816,264.9365139,257.6996046,49,1264.036344,8
0.253238346,0.219203727,0.172973189,0.179779218,0.193365698,0.177474846,0.176404636,0.174876993,0.173459919,0.185709995,0.191663419,0.198713128,0.860374936,0.537405684,1.192579512,6.459068908,10.23546316,10.15046745,6.70418012,2.098600085,3.407303285,14798,275.9647214,282.5410803,291.6138944,302.9609752,308.0866343,306.9979288,304.8050649,302.9279102,300.2503362,294.7881891,284.4147259,276.2868123,258.0415934,264.3605062,272.6941281,278.8521547,283.7709344,288.2922395,289.3130594,287.7923594,282.61992,274.6581535,268.3167737,261.2735098,54,1008.252873,8
0.363662437,0.312702919,0.199218984,0.190846772,0.1895796,0.17612039,0.17547897,0.175259534,0.175881306,0.185486201,0.191266358,0.263368971,3.440657242,3.176863073,5.939390901,9.98805364,11.31157078,10.65973435,5.358310034,3.049334575,4.648352425,16998,273.639621,281.6191186,292.4958297,300.8965101,304.2911514,306.1969123,306.1816864,303.9644253,299.5762184,293.0869528,282.6564348,273.8775549,257.4398861,263.637103,272.1028485,278.824098,283.4632119,287.5122209,289.4738118,287.8378558,282.8285707,275.2408025,269.0463894,261.0273753,42,1285.770445,9
0.262121822,0.256424134,0.240853389,0.235643595,0.215327837,0.20097128,0.192754799,0.189350594,0.193316114,0.213141416,0.221000024,0.238401744,3.156062571,2.103902184,3.561023948,9.799057669,14.48247979,10.83981695,5.52819178,3.781096691,4.97873464,6705,278.4425905,286.4401131,296.0403837,304.5523763,306.8267636,307.1975774,307.0505843,307.1275723,303.3432045,296.6923634,286.1178211,278.2812675,255.9227948,260.5369584,267.6883875,274.6247655,280.7510084,286.1140817,288.0252198,286.0100306,279.9304616,271.8545774,265.1627174,258.2051212,60,1407.197581,9
0.635720418,0.648350931,0.338191589,0.178032234,0.18859673,0.182697813,0.187515586,0.18275955,0.178633275,0.17975982,0.243834218,0.590087489,3.857338926,2.267371433,1.793525135,9.821252003,21.18708922,19.6187085,8.366959112,3.349025425,5.587659555,25068,256.5179824,264.1142328,286.8482404,305.1784081,311.7773204,312.3360329,307.3609074,305.9273668,301.7035956,291.683042,277.9610775,260.2381717,246.1862405,251.5335946,268.7797452,278.8326731,284.9840265,290.3761933,290.4116475,287.5538852,280.9430785,273.2028957,265.7524042,251.9741507,60,354.8306718,10
0.208894728,0.185309771,0.176909329,0.171411725,0.160074639,0.153756931,0.148850429,0.145876105,0.144989174,0.157220717,0.176715026,0.183856667,1.816923342,7.786693157,12.18958276,9.731699546,9.793235363,8.720512437,6.379386614,2.391928206,2.186622671,2841,276.9727243,284.2586386,295.5314417,298.3067061,299.0504128,301.9014384,302.2003795,299.5640509,297.853184,294.3727128,286.2282053,277.6005432,261.4942668,266.5624514,274.4491287,280.2204407,283.8299718,287.2168997,288.2111396,287.1759857,282.6379479,275.1579598,269.1130344,264.059594,62,1390.917739,10
0.244637958,0.226659065,0.212783258,0.202331374,0.191446097,0.177557045,0.174876825,0.17217403,0.174738075,0.183808097,0.185525002,0.21268155,3.914182946,3.2385729,7.391142702,17.95729247,18.70217946,14.11292818,7.391301846,4.662351466,5.293657143,5935,277.8912898,286.1635622,295.9403963,303.5942008,304.6467049,303.9431214,306.0089021,305.2297411,301.90446,296.688475,286.699783,277.2268528,258.0419638,262.3803076,268.4471955,275.3237798,280.8116771,285.693996,287.8783287,286.110516,280.202275,272.5834338,266.3339511,260.8583465,57,1501.535333,11
0.253297276,0.221539391,0.203248351,0.190742312,0.181357661,0.169908624,0.170231815,0.1651405,0.171016327,0.184946566,0.182935289,0.246481973,2.667284411,2.248598651,4.201311155,14.46359419,23.98708946,17.89084267,7.238988653,3.136589125,4.332234752,9605,275.8839281,284.8993713,295.7327372,304.766143,309.6692106,307.9384057,306.4863825,304.6018714,301.1590313,295.5561716,284.0142553,275.6757146,257.5662266,262.2322912,269.5779009,276.4248054,282.1071769,287.7930058,289.6982448,287.7198232,281.4316304,273.2011101,267.4540605,260.0967065,57,1397.391808,11
0.340990488,0.255701518,0.178938046,0.175872108,0.167405451,0.164228051,0.163501853,0.165869575,0.168380907,0.170483149,0.189823922,0.265719952,2.786730116,6.383135041,10.30491854,7.993809397,8.218367419,11.77514611,7.269897187,2.741914004,3.564573532,10075,274.4823286,282.3441006,294.4360042,300.6692751,303.3971954,307.9021346,308.7267086,304.4458242,300.2985458,294.7358771,284.9265476,275.5761192,260.2784429,266.5676414,274.3998883,280.8551673,285.1050104,288.964667,290.4499646,288.7724094,283.8051931,276.9401215,270.5941276,264.1438901,54,1325.93114,11
0.274604012,0.238631823,0.214091533,0.203301341,0.194155914,0.184053532,0.179755044,0.178472606,0.182483896,0.200598178,0.211739376,0.258407668,1.824513338,1.392400672,2.510255084,6.998714176,9.112222212,8.618294054,4.696930556,2.105106492,3.75869782,12532,273.8307098,282.897287,294.3062125,304.4773568,309.8195349,311.2498051,311.494053,309.3568148,303.9643872,296.1208676,283.8995207,274.0097713,256.2012945,261.8959888,269.0754478,275.8004111,280.9982387,286.9706868,289.2515266,286.847009,280.0964842,271.7152329,265.3374165,258.3318966,42,1259.269256,12
0.602658888,0.575520104,0.288840827,0.179106936,0.189478628,0.18778832,0.196875262,0.193361286,0.184279777,0.188556367,0.220983036,0.577446475,5.012206747,3.203104604,2.372537799,12.23843104,23.48434786,24.00328195,10.75172817,4.111397713,5.600818613,25193,259.6208815,267.567714,289.5403042,304.9499993,310.7109462,309.7106154,304.9667397,303.7240619,300.2226685,291.4949048,280.4540065,262.8548017,250.0178805,256.3330964,271.2998465,279.7502276,285.7620125,290.8594189,291.1036897,288.8630726,282.898727,274.9427465,266.8325338,254.8773719,42,368.4819455,13
0.35774642,0.284938514,0.216111798,0.19904324,0.197350172,0.183973238,0.178733548,0.177903017,0.182337623,0.194288428,0.212259908,0.345772757,3.551827501,2.911124841,3.185461965,7.813279599,14.52390424,11.99673002,6.560532242,3.546273202,4.447921523,9593,273.3429626,281.9222614,293.1327732,302.6568206,308.158378,309.1614681,307.9237281,305.3812169,300.3275309,293.2991975,283.5151715,273.8584261,257.5197421,262.1517226,268.9246681,274.9010199,280.070288,285.8314088,288.2894806,286.1803636,280.2246872,272.6662081,266.3868034,259.3021378,40,1734.706268,15
0.453333502,0.389029632,0.180765972,0.18152605,0.179520167,0.170228017,0.170531547,0.169866543,0.172030721,0.18015319,0.197164237,0.34256619,2.906488135,2.759042016,5.87427735,10.98147081,12.08478625,10.38146469,5.064836538,2.727656208,4.85349332,18510,268.61553,278.1861873,291.3159528,300.128615,304.0121131,305.9977415,306.658525,304.3326849,299.5247877,292.1961821,281.396457,271.2294348,254.8869172,262.7035057,271.2955407,278.0392631,282.6067971,286.764104,288.8346604,287.2680623,282.123632,274.2777823,268.0506829,258.9691846,52,1214.189018,18
0.658895814,0.665593386,0.3372364,0.176171213,0.193642574,0.187148383,0.19310984,0.186813422,0.178879473,0.179591685,0.229147215,0.570038652,3.262307714,1.668162145,1.377226593,10.22320215,24.3885717,22.37018953,9.650916609,3.399176682,5.290141613,25387,256.3069736,263.7671031,288.0113663,306.4186534,312.059775,311.065325,305.8690722,305.2176927,301.582868,291.81893,279.1652899,260.2198085,245.8838988,250.9449,268.846523,278.6100564,284.9889026,290.1815628,289.9350669,286.9221009,280.3798768,272.5104296,265.0229779,251.8906917,40,330.0447884,19
