Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,forest
0.380486145,0.427515761,0.362924794,0.128626821,0.114750817,0.11991111,0.119562215,0.116626312,0.111490039,0.120600607,0.262970323,0.338532169,7.282857748,7.677723282,10.86527429,12.44949557,10.28480479,5.997113111,3.842177063,5.322695714,6.096988448,27257,260.4845728,264.6141231,277.4024079,293.3718734,299.5264687,306.1162981,307.9590422,305.8203545,296.8580739,284.1750767,269.8682557,262.0727016,257.2810379,259.1391828,268.0099268,276.6198596,281.652582,287.292878,289.5847416,287.4729407,280.548674,273.2744165,265.0135365,259.2056664,7,1120.247945,6
0.663922763,0.677265063,0.488887088,0.200535362,0.164115904,0.158644823,0.160813364,0.166114805,0.177306349,0.200578341,0.446608749,0.626406792,4.268840071,4.092602036,5.971623874,18.88996589,22.20201938,9.57078125,3.7684375,4.205572956,4.813373557,27234,254.466615,261.2557986,278.6172895,297.0551812,303.4069661,305.3429093,305.7561204,305.0642154,298.918685,287.2007067,269.3188603,256.271336,244.4338977,248.383098,262.760377,272.9900393,278.4856403,284.8704544,286.618547,283.6584131,276.1469298,268.2396422,256.905041,247.4291451,7,1129.625,9
0.647269013,0.669484573,0.440094748,0.213895668,0.195811306,0.183451691,0.185231404,0.188857907,0.195089265,0.203309697,0.299674789,0.588879024,4.010358782,3.031106158,3.085965755,5.891919739,7.254132915,4.91386996,3.273755933,4.024028836,5.428060243,27397,256.1574081,262.1134022,282.6236933,300.5813921,306.8825844,310.0055156,310.578599,308.951187,300.9286761,288.7368437,274.7375726,258.545137,246.4901993,250.017203,264.9844678,275.1587403,281.2782201,287.9820716,289.313449,286.0725742,278.4471073,270.3067536,261.6636993,250.5266706,7,622.9168527,10
0.233927648,0.231273463,0.182090275,0.173692197,0.161647872,0.153349518,0.149239809,0.136626496,0.144316878,0.166005824,0.181906425,0.189657176,0.840342661,0.693773587,1.113020297,2.355629675,2.06885561,2.029315923,1.99055837,1.152892538,3.652805291,15798,273.4931824,280.6854523,290.3866654,300.1082495,304.6433111,308.6724416,307.8628872,303.5391866,299.040008,292.605702,283.0592075,274.1619946,257.7516128,263.5996981,272.00953,278.7038204,283.2225761,288.2507381,290.5243827,289.6888118,284.4225747,275.9451131,267.9205482,260.6056789,7,962.7397094,10
0.625435715,0.653284616,0.434124055,0.207657858,0.198167832,0.191368276,0.190321589,0.190166714,0.194784743,0.202463437,0.273539985,0.577641639,4.525009885,3.111540745,3.953337028,7.939886463,10.50362345,8.295116745,4.181122847,4.479895818,5.920658765,27837,255.5180313,261.3562221,281.565145,300.8690124,307.4566905,310.6769461,309.3849974,306.8743352,299.3260403,287.9054709,274.5106545,258.5473706,245.9049248,249.4421497,264.9853664,275.252641,281.1677709,287.8867031,289.2073871,286.2373186,278.342033,270.3801883,262.0600204,251.1699606,7,515.1909188,13
0.241577104,0.249660609,0.201100628,0.123926622,0.094723323,0.094613867,0.097012943,0.094800523,0.095391243,0.119403563,0.177287919,0.227625201,5.026142656,5.332334135,7.75127023,12.41410213,13.73992035,9.961400946,5.553074873,3.980924404,5.084131978,23455,263.49749,268.6990811,278.0224934,286.3068936,292.1052745,295.5097637,296.3142187,294.7613078,289.4047764,280.4232463,271.1078064,264.4434623,257.8289561,259.7095047,265.3244016,271.3584744,275.6263208,280.8408998,282.5910248,281.1682967,275.9584996,269.7797945,263.8650979,259.4474207,7,2260.896867,16
0.129262297,0.146883298,0.150035256,0.109537977,0.105277505,0.105431911,0.107605576,0.10612849,0.101998115,0.105012721,0.124951845,0.12689069,8.306917851,8.655271904,9.83875141,14.00481401,19.20727367,16.6305097,11.70270263,8.293480381,6.752032273,4509,271.5654517,276.056273,281.5279175,288.0427726,292.8987784,295.0625235,296.0727715,293.8463365,289.1716531,283.4241251,276.624362,271.5167835,256.9991986,258.7413289,264.203153,269.5361277,273.9020867,278.0881367,281.0844021,279.5445405,274.6581583,269.227273,263.4767877,258.411722,7,3006.858465,25
0.429350817,0.444216226,0.403755817,0.281946148,0.134189735,0.130091973,0.122117724,0.110400903,0.114258379,0.197268108,0.350746616,0.423101269,6.568333306,6.907059321,14.88315936,27.07564463,23.81400716,14.57003833,7.739600709,4.935965085,6.054241302,22547,263.1291556,266.4514126,274.7786374,284.9243445,290.0100221,293.0352582,295.626332,296.1108397,291.1519164,281.3062442,270.8382687,264.388227,257.6485273,259.4217571,265.6612173,271.6533083,275.7140506,280.0626048,282.4782791,281.6395717,276.7796589,270.4289262,263.8621765,259.2553943,8,2287.539002,5
0.252487203,0.285366026,0.256444113,0.147039871,0.111220709,0.106625142,0.106232622,0.105393685,0.110790502,0.165680635,0.214763126,0.231302846,4.629451116,3.680248063,5.152804351,9.220896519,9.997959443,7.637298107,3.94243441,4.069982315,6.043663538,22993,258.2982688,263.3449902,274.0826879,286.3354506,294.236543,299.4152898,300.428213,298.3115248,290.6242925,278.3429108,266.5217642,259.5900698,253.9302294,255.7532468,262.5591325,269.564984,274.2582935,279.963644,282.2687336,280.1980596,274.3163849,266.9503693,260.3158222,255.7753063,8,2508.234158,5
0.227930425,0.221524353,0.19774975,0.189267045,0.177483173,0.167238062,0.167859853,0.166092177,0.166406421,0.176878894,0.177156123,0.211020305,3.913773659,2.804140095,4.00210739,11.02472193,19.93727034,17.73679223,8.598667752,5.350544164,6.139335947,4550,277.009126,284.3737989,293.227551,302.1409319,307.0949146,306.9581394,305.6927466,303.4899646,299.485176,293.583665,283.878284,277.0091378,260.0219492,264.1948544,271.5152142,277.9558274,283.6111148,288.5501104,291.396578,289.3036858,283.5143848,276.3630923,270.0238807,262.2981298,8,1165.122402,7
