FID,Id,Field1,Unnamed__0_x,LST_Day_01_x,LST_Day_02_x,LST_Day_03_x,LST_Day_04_x,LST_Day_05_x,LST_Day_06_x,LST_Day_07_x,LST_Day_08_x,LST_Day_09_x,LST_Day_10_x,LST_Day_11_x,LST_Day_12_x,LST_Daymean,Name,flag,Id_1,LST_Night_01_x,LST_Night_02_x,LST_Night_03_x,LST_Night_04_x,LST_Night_05_x,LST_Night_06_x,LST_Night_07_x,LST_Night_08_x,LST_Night_09_x,LST_Night_10_x,LST_Night_11_x,LST_Night_12_x,Unnamed__0_y,ET_01_x,ET_02_x,ET_03_x,ET_04_x,ET_05_x,ET_06_x,ET_07_x,ET_08_x,ET_09_x,ET_10_x,ET_11_x,ET_12_x,ETsum,Albedo_01_x,Albedo_02_x,Albedo_03_x,Albedo_04_x,Albedo_05_x,Albedo_06_x,Albedo_07_x,Albedo_08_x,Albedo_09_x,Albedo_10_x,Albedo_11_x,Albedo_12_x
24417,24419,18,24,-0.9571984,0.1422242,0.7277457,0.0747462,-1.2882206,-2.4366255,-0.6668324,0.0056045,0.0233227,-0.0874366,1.7121095,0.275758,-0.206233558,Beijiang,1,24419,0.4282609,-0.3700996,0.0349123,0.021586,0.3946737,0.1241015,-0.7711173,0.2594713,-0.4739791,-0.1514585,-0.0053217,-0.9062453,24,0,0,0.194584329,1.319194214,1.571131038,6.866376963,7.90754252,7.28843828,1.743562129,-0.179538943,-1.144835237,0,25.56645529,-0.070879386,-0.068603845,-0.041962388,0.000146169,0.000762631,0.004629494,0.007412074,0.010053682,0.002278668,-0.006833994,-0.039245019,-0.024804534
24440,24442,19,25,0.6242761,-0.1902776,0.3877242,0.0917092,-0.1432678,-1.5356192,-2.5428758,-2.3308389,-1.5610449,-0.4407434,-0.6182036,0.0442673,-0.684574533,Beijiang,1,24442,-0.5512358,-0.4033528,0.0322955,0.0230072,0.4496088,0.3387749,-0.7090928,-0.2093918,-0.3556014,-0.0840939,-0.6982629,-0.2889582,25,0,0,0.505670388,-0.390305352,-1.071883824,1.96161227,8.794370198,8.54189945,2.591614159,0.175870838,-0.263041725,0,20.8458064,0.084589974,0.066659905,0.004368655,0.007428578,0.016257343,0.010307332,0.010133649,0.010262576,0.004420048,0.006471304,0.006260374,0.062451175
24448,24450,36,43,-0.4375038,-0.0554139,1.0524813,0.6616728,0.116741,0.2367192,0.5249241,0.0532733,0.5965432,0.5094102,0.5068885,0.0019521,0.313974,Beijiang,1,24450,-0.0790651,-0.2402076,-0.3977934,-0.5367675,-0.0932223,0.3570779,-0.1102691,-0.1667437,-0.1021562,-0.3514363,-0.2482642,-0.4172628,43,0,0,-0.681642238,0.070863193,-0.608912159,0.372806269,2.075881305,2.251129187,0.970626303,0.240345614,-0.256908657,0,4.434188817,-0.042952855,0.025255984,-0.014371663,-0.000614272,0.005405584,0.00656798,0.005107348,0.005039485,-0.001425598,-0.004076173,-0.042329604,0.004194964
24463,24465,24,30,-1.0094607,-0.4206388,0.0769586,0.5933205,-0.0988836,0.1545404,1.6431085,1.1854088,0.3867175,0.4498149,1.1247201,1.3815468,0.455596083,Beijiang,1,24465,0.2631087,-0.8597389,0.3137487,0.3643325,0.8765264,-0.0561284,0.3087732,0.2398084,0.0102955,-0.0406193,-0.673109,-0.8430607,30,0,0,-0.020117623,0.261977354,0.529053787,3.732481586,5.382638514,4.80363523,0.81891085,0.472934761,-0.435705279,0,15.54580918,-0.012013504,0.019064743,0.032764616,-0.005943476,-0.002937516,-0.002351037,-0.00252474,-0.003591426,-0.006935146,-0.01125934,0.028896065,-0.033688531
24470,24472,65,78,-1.719705,-0.0570723,0.6829564,-0.3140352,0.2077488,0.1180834,-0.671809,-0.6100518,-0.3992596,-0.4200856,-1.6505717,0.4594602,-0.36452845,Beijiang,1,24472,0.7164468,-0.1742681,0.2972973,0.2444755,0.6257513,0.3858837,-1.0218672,0.0639181,0.16837,-0.1040742,0.2926145,-0.4077326,76,0,0,-0.197930029,0.088348613,-0.074974408,1.346082906,1.925635886,1.442452601,0.293256984,0.030585469,-0.179723872,0,4.67373415,0.050270955,0.027444985,-0.073212499,0.009487918,0.005309267,0.006784511,0.009863433,0.009084623,0.010004391,0.020961487,0.105523524,0.010389173
24735,24737,2,2,0.2711103,-0.3137656,0.8734653,0.0008384,0.6872108,0.1719641,0.0951718,0.6060683,0.1420863,0.1707205,-0.917711,-1.8541208,-0.005580133,Beijiang,1,24737,-0.428074,0.2135516,-0.3506135,-0.0512529,-0.1013545,0.1304532,0.4291672,0.3590555,0.1373068,0.0975372,0.2780519,0.4566074,2,0,0,-0.695750251,-0.513389929,-0.09807856,1.178609959,-0.885001943,-1.166032391,-1.226652651,0.211953366,0.792222873,0,-2.402119527,-0.01943513,0.00060708,0.057120402,-0.000053513,-0.001767527,-0.004156669,-0.000901262,0.001974393,0.002352459,-0.003844956,0.011895803,-0.01744889
24745,24747,57,70,-0.8358458,-0.5252276,1.210827,1.5709635,1.3090036,0.9575274,4.938239,5.236494,2.4861218,-0.0618828,0.2409241,0.6964321,1.435298025,Beijiang,1,24747,-0.7136807,-1.0918582,0.5740834,-0.084483,-0.166135,-0.2945905,0.0147973,0.0733567,-0.4574241,-0.804036,-1.0813531,-0.6651347,67,0,0,0.122411123,-0.315791706,1.672941886,6.000271367,-0.355340724,0.092642846,-2.526269843,-0.200098532,-0.107670066,0,4.383096351,0.013692251,0.026574893,0.020473678,0.015302827,0.009677866,0.012887449,0.014015822,0.015317192,0.016035191,0.012078593,-0.009018159,0.003341428
24755,24757,119,141,-2.2607543,0.1713041,-0.666924,0.4385579,-0.2390167,-2.0427325,-2.8335479,-2.6427246,-0.9342028,0.6013487,0.0098228,1.0161944,-0.781889575,Beijiang,1,24757,0.4309452,-0.6752197,0.1012906,-0.0075872,0.1531361,-0.4794061,-0.3488336,-0.5343447,-0.4142974,-1.0629814,-0.8165386,1.962279,139,0,0,-0.2458993,-0.060521284,-0.005738267,4.850546919,11.11364339,10.60362103,2.489394926,-0.044363577,0.018984488,0,28.71966832,0.052806283,0.018124506,0.000447884,0.014974943,0.0090647,0.012127143,0.015350206,0.009982114,0.006265404,0.011667167,0.017965095,0.047417141
24877,24879,144,168,-0.9730328,5.7407876,1.8477081,0.7529707,-0.083998,0.2841346,1.9382781,2.7045717,1.8509408,0.3736444,1.688409,0.7904359,1.409570842,Beijiang,1,24879,-0.7102423,-0.9236276,-0.5724162,-0.7000671,-0.3138377,-0.4007488,0.0108901,-0.1230638,-0.1706244,-0.1889271,-0.9032715,-0.7263796,166,0,0,0.543370819,0.26594198,0.440840949,-0.568042491,-1.10982546,-1.907874659,-3.230367575,-0.484477096,-0.018630365,0,-6.069063898,-0.008422396,-0.05507169,-0.013378657,-0.001771909,-0.002608006,-0.000104326,0.004204224,0.00247746,0.002695888,0.003497599,-0.000789066,-0.027568589
24916,24918,51,63,-0.3152555,0.0895377,-0.2854427,0.4587693,0.3261675,-0.187041,0.7815858,0.6577006,0.0861241,0.2499168,-0.0871415,-0.2151922,0.129977408,Beijiang,1,24918,0.9153951,-0.3351261,0.5773793,0.0693914,-0.1005672,-0.275335,-0.4172651,-0.3734043,-0.3534596,-0.4737092,-0.829023,0.1718766,60,0,0,-0.306140792,0.439522525,0.446583027,2.235650979,1.25359874,2.734987614,-0.092112816,-0.36401023,-0.716133361,0,5.631945686,-0.044505712,-0.010247712,0.041011254,0.006649924,0.0045318,0.006066996,0.007671187,0.005533679,0.00697212,0.013532587,0.060353404,-0.001740824
25386,25388,161,187,-2.3092056,-0.23853,-0.1637695,-0.2009356,-1.2406506,-4.7528635,-4.5408319,-2.8279322,-0.613049,-0.7152434,-2.0071487,1.9222261,-1.473994492,Beijiang,1,25388,0.5854036,-0.7657349,-0.0828484,0.1651376,1.0257796,0.4735162,-0.0535027,-1.1643358,-0.7372778,-0.3702409,0.1708841,0.0864834,185,0,0,-0.002443547,-0.004023654,0.228610588,8.216644207,13.29793649,12.97956087,3.186669508,0.011007261,1.039171227,0,38.95313295,0.046304409,0.010201505,0.04546666,0.021029513,0.013898837,0.011513128,0.020978203,0.020547691,0.015006683,0.036151229,-0.009154361,-0.04078014
