system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,grass,.geo
000000000000000001ec,0.2749896148066511,0.24849414463717406,0.20581641620194935,0.1853151666075346,0.18526826542368116,0.1823261075589873,0.17960563087597745,0.17613294819737407,0.1708280423594786,0.16918059664221902,0.1888565664781998,0.26911501162859314,5.844953564015332,5.641755327716072,4.378004862187094,3.73165469912163,3.619035070523937,4.343398659135775,5.6183396027937125,6.213981822992378,5.1093005343208535,4.301768749973779,5.126563922883056,5.262267725425883,4509,269.38985751481255,276.72662471305125,288.541134875069,297.9727522121195,304.24248866380225,307.9571030550322,309.7013805616921,305.88554319272424,298.970569812577,290.0809239755944,278.99520613593984,269.36730227153896,257.1503852878555,260.72099630512935,267.3290080723624,273.4185001291019,278.39575792697536,283.99755317356824,286.89747954230495,284.9643021171329,279.0153115420395,271.75071515628395,264.8859858625078,258.57227554067435,45,2101.4197437829685,33,"{""type"":""Polygon"",""coordinates"":[[[98.83384343124844,39.32068302269601],[98.86753302017526,39.320683063476636],[98.90122268627994,39.32068305515549],[98.93491229358594,39.320683083104136],[98.96860187453386,39.320683062696794],[98.96860187453386,39.4554415447354],[98.93491229358594,39.45544158870612],[98.90122268627994,39.45544155340215],[98.86753302017526,39.45544152327932],[98.83384343124844,39.45544156991693],[98.83384343124844,39.32068302269601]]]}"
00000000000000000173,0.5761505008178428,0.5059751615995329,0.22469186026024007,0.17667897096960897,0.17509900723906696,0.1725352588718751,0.17183240730795837,0.17261948221260598,0.1772709923313587,0.18454674934200613,0.2021753000686159,0.4445277489286023,5.256600596519047,4.978822234450871,4.047965088781132,3.9006309723520203,5.291841828669002,8.503689114270207,10.137588062876116,8.492850955141739,4.76503751584315,3.149687507011298,4.668019054688206,4.957807148035584,10527,264.8614731491349,272.1891074036579,291.66250308642066,303.63363055310197,308.5309651525401,310.8440383781128,310.3748270114775,308.691495894993,302.66345267347043,293.3653838759824,281.7887252179696,269.0788495383052,254.81629507236346,261.09740195042195,272.7405348264372,279.29262481353084,284.11661156457063,288.5930265610652,290.0257195512379,287.454042906455,281.2317031482999,273.91238584767706,268.2366805702118,259.424844899896,45,569.440694310511,39,"{""type"":""Polygon"",""coordinates"":[[[80.64124171840284,43.76776237512576],[80.67493138576255,43.76776239120351],[80.70862099574039,43.76776235606875],[80.74231058240797,43.76776234877684],[80.77600026420122,43.76776238275826],[80.77600026420122,43.902520885300675],[80.74231058240797,43.902520861358674],[80.70862099574039,43.90252084825409],[80.67493138576255,43.90252090477874],[80.64124171840284,43.90252087985589],[80.64124171840284,43.76776237512576]]]}"
000000000000000001ea,0.25460801216320045,0.23469974442251867,0.19637382250938917,0.19228499076030156,0.1826447784331361,0.17424702973850886,0.16558124178377603,0.15485697268990267,0.16354145111919807,0.18487422369208364,0.1989445841549607,0.20845383787077781,5.7390983192918945,3.969493579707329,0.9345306258994197,0.8417568824679539,1.2615054875089533,1.9680490022820387,1.8966065754526267,1.9080317848970452,1.7471317223178175,0.9817092088992503,2.6847112329131395,5.358362120481162,4355,277.0955950677077,284.21961699006124,295.7941709488045,304.2377462684367,309.2045298367255,312.3976359051253,310.45164361149773,306.1312023186298,302.4412143318636,296.5794071691284,286.43306244119793,277.6678367595506,257.94379846733113,264.5708529404354,272.274801793881,278.3813251733524,283.22284501410684,287.64234139730604,289.7503902292681,288.93126736372324,283.4893823375851,275.0991365764663,267.6061070266425,260.6275059837897,45,1140.8013089772398,40,"{""type"":""Polygon"",""coordinates"":[[[78.08080361207895,39.32068303865472],[78.11449321300466,39.32068309339266],[78.14818283533171,39.320683039230346],[78.18187252150766,39.32068304159065],[78.21556213997029,39.320683091895006],[78.21556213997029,39.455441532620874],[78.18187252150766,39.45544153770835],[78.14818283533171,39.45544155877988],[78.11449321300466,39.45544152652277],[78.08080361207895,39.4554415874782],[78.08080361207895,39.32068303865472]]]}"
000000000000000001e4,0.3491203509803899,0.3147810339355726,0.24176633760934957,0.2294469124111187,0.20322788076952103,0.18761290977486145,0.1800328708031987,0.18030837346756534,0.18780972389668063,0.21311381606714958,0.2352840021962264,0.25994780985654653,5.587002802679906,3.8936444949508746,1.1886548850245664,1.114663398302401,1.7216145633479172,2.048998952209479,2.851927220228084,3.902485938800608,3.1819049449096743,1.398400391417296,2.7997327571535124,4.96666274059782,4344,278.5119672021053,286.7990019858168,299.6899469293835,308.95171422161957,315.8071312919229,320.81232207978474,320.03458463050384,316.13239262341125,309.34010384573924,300.7893108495099,290.10964001141724,280.05011591155466,257.32570290154507,263.97192557235024,271.83937403051664,277.93534827395877,282.7898501578309,288.060378955252,290.3922859008567,288.74639179070766,283.3656721123201,274.7999138814242,266.38735437871253,259.38321092416555,45,1211.2413564929695,47,"{""type"":""Polygon"",""coordinates"":[[[76.59844231393718,39.320683042591064],[76.63213202100086,39.32068306732126],[76.66582163044899,39.320683048530206],[76.69951118865556,39.3206830751159],[76.73320082994822,39.32068309048473],[76.73320082994822,39.45544156010787],[76.69951118865556,39.45544158878641],[76.66582163044899,39.45544157396053],[76.63213202100086,39.45544157204825],[76.59844231393718,39.45544157193111],[76.59844231393718,39.320683042591064]]]}"
00000000000000000255,0.22781849836620596,0.21021317918007998,0.1947644334289168,0.19358950224744778,0.18795434473475556,0.18421515128550878,0.18151486580880155,0.18016823113997987,0.17599911993405143,0.17716068621489153,0.19589216445747903,0.21229078415904776,7.091804512105517,7.939114663133198,6.236662313034171,4.61925654653945,4.319656631365569,4.852340151532111,5.511896650722017,6.886461330344742,7.8444385596015325,7.349553173189479,7.429089348162989,6.429858734944605,1425,277.0553716049281,284.35950395343286,293.8888487157013,301.82118484822394,307.10959821786423,311.0955234763148,311.5868255417678,307.9842716633258,300.97485503376754,293.6631697702958,285.0242720942181,277.3543546215754,259.52534290226265,263.10161848327346,269.30560388366706,275.06609127610426,279.6766367979346,284.62872429094386,287.8085713838159,285.93658639072027,280.54677546067944,273.9550284923522,267.30561276049826,260.82925497551673,45,1935.29238684317,134,"{""type"":""Polygon"",""coordinates"":[[[105.03280099577584,37.02976191762081],[105.06649166325329,37.029761899374506],[105.10018242806956,37.02976193422661],[105.13387316176787,37.02976195229684],[105.16756391433181,37.02976194066174],[105.16756391433181,37.164520460672634],[105.13387316176787,37.164520407555806],[105.10018242806956,37.1645204510683],[105.06649166325329,37.164520444353506],[105.03280099577584,37.164520377192794],[105.03280099577584,37.02976191762081]]]}"
00000000000000000077,0.6385386952202126,0.647382848384955,0.47877852679596394,0.17247488260720428,0.1489934002043964,0.15361043610323452,0.1546764980576325,0.15533172458914832,0.15688682728931197,0.18117855140943537,0.410905028254965,0.6069007714371545,7.11185584092792,6.561661755979781,6.81013168393811,7.089233302105276,8.67196303282486,9.106987426732573,8.725846389282333,6.224613396490908,3.8452001997657397,4.760187425229009,5.47343453787496,5.671563305515147,12283,260.92665180095014,265.46447431482994,279.31328768687354,297.0141388554608,303.9753320413203,310.5534432560106,311.93592934246567,309.9974331762543,301.4586850795331,288.15469596007404,272.1162091581989,262.5085693747437,255.2274677294206,257.6137573069986,268.0055487067349,276.5411639577013,281.6518116276761,287.38950828209323,289.60676075106255,287.41271373699414,280.21790524869414,272.8414293872456,264.52425068390465,257.42928761487155,46,949.385913744958,65,"{""type"":""Polygon"",""coordinates"":[[[83.87548123090326,46.462958979565464],[83.90917090309495,46.46295899452791],[83.94286045361204,46.462959009918336],[83.97655011925622,46.46295896476576],[84.01023975065894,46.462958998465474],[84.01023976301465,46.59772194541641],[83.97655008975876,46.59772193280615],[83.94286048152138,46.59772196026822],[83.90917090185943,46.59772195202229],[83.87548119768348,46.59772197365458],[83.87548123090326,46.462958979565464]]]}"
000000000000000000b0,0.6271403959968223,0.6419975057374413,0.43441785613557177,0.2183006647174603,0.20608866793589606,0.19819851372834318,0.19636812541997598,0.19796757059199652,0.20475925060621036,0.21846421206489633,0.3920167423961456,0.6032313452180629,5.34043144477355,5.469147425657908,4.869442523806403,3.6843378037790897,3.26638796509267,5.6244651781382045,6.923378328197218,4.487668783118333,3.1267763139107694,4.288113619955583,5.149323550592124,,12810,257.5664013537019,262.91294919023255,281.5628871467825,298.42071765090685,306.14679443824963,311.7560122482504,311.84085898508874,308.9253466605284,299.45640809158954,286.84034156356716,272.23419572803255,259.572769115153,250.9500520435469,253.9847843614293,264.7859526520395,273.66150175729007,279.623321891396,286.4211762044932,288.0805754399102,284.97849694871513,277.6218841241563,270.3070071807744,262.54112675826315,254.61779941607728,46,495.7100239808154,79,"{""type"":""Polygon"",""coordinates"":[[[86.43592385639828,47.945320274146546],[86.46961347872625,47.94532027221576],[86.50330310337988,47.94532023320608],[86.53699268350447,47.945320231345434],[86.57068226649575,47.94532026811691],[86.57068227757117,48.08008321974618],[86.53699268202317,48.08008318618779],[86.5033030290748,48.08008321921561],[86.46961345988895,48.08008317148617],[86.43592382232337,48.08008318992009],[86.43592385639828,47.945320274146546]]]}"
00000000000000000189,0.5876767877940873,0.5108494657669638,0.2192602117565597,0.16887902504250385,0.16952625981010527,0.17097666710018478,0.17251764695786403,0.1732044303033882,0.17700777115315397,0.1868960936081522,0.2053517701357123,0.4626669643228923,5.197758755734585,4.841350807333389,3.809373193453512,3.834120724439961,6.57762266966276,11.493773408793977,15.84964665740421,13.21468821886296,6.30681238626049,3.1040588019355844,4.451311943546291,4.748199098513,10641,265.28092543648825,272.4652328719503,291.44391499783615,302.7345274321961,307.34953579318943,309.834779564276,309.2727008059913,307.53669479935456,302.2315311220047,293.45816770366315,282.0588325204044,269.4845853896241,255.32731023248635,261.74296352758836,273.213475588098,279.4600610744676,284.0526457878828,288.42804616473876,289.81735823380984,287.14713648966773,281.03884873826024,274.00202766033556,268.41574934780647,260.6163090735488,46,548.9970423923758,14,"{""type"":""Polygon"",""coordinates"":[[[80.64124171840284,43.90252087985589],[80.67493138576255,43.90252090477874],[80.70862099574039,43.90252084825409],[80.74231058240797,43.902520861358674],[80.77600026420122,43.902520885300675],[80.77600026420122,44.037279340797454],[80.74231058240797,44.037279382248016],[80.70862099574039,44.03727933217756],[80.67493138576255,44.037279393229454],[80.64124171840284,44.03727934270801],[80.64124171840284,43.90252087985589]]]}"
000000000000000001fb,0.25715329489581196,0.24092499909889828,0.22627486564492735,0.21949153833576715,0.20179964472108922,0.19227993926239365,0.18758207556756662,0.18896039289284203,0.19513379386303914,0.2124673879555838,0.22342503589159296,0.23688897457913843,5.743204370621696,3.6902889901824865,0.8271089289757755,0.7030256990970025,0.9800949520502897,1.355986743357861,1.8648100776690952,2.1282089915180644,1.946512124469488,1.0868492292978718,2.774326354133123,5.241960074747529,4849,278.3988541948001,287.0704135709878,298.28184872016794,306.9723124191511,312.8434816985399,316.9459771493285,316.03522332963183,312.70908415809475,306.94829387794476,299.49972267629533,288.87941360367097,279.1570303971195,257.2103734611785,264.19931536731036,272.3569355777064,278.4112996527316,283.36482373949144,288.0891234941258,289.8695717708181,288.3579544144815,283.22877315083497,274.59392577627295,266.7077266124012,259.46398896459675,46,1123.4039304397002,56,"{""type"":""Polygon"",""coordinates"":[[[78.35032060781406,39.59020003082321],[78.38401130130806,39.59020004499388],[78.41770209179292,39.590200088607006],[78.45139284738326,39.59020007536206],[78.48508352299247,39.590200083377276],[78.48508352299247,39.72496300000356],[78.45139284738326,39.72496303765766],[78.41770209179292,39.724962987172546],[78.38401130130808,39.72496300348495],[78.35032060781406,39.724963017479475],[78.35032060781406,39.59020003082321]]]}"
000000000000000001b9,0.7118579912481553,0.7200880711858256,0.4383858929574386,0.21759929047821525,0.21765835563771124,0.21598231069367899,0.21609338018718144,0.21831632806477247,0.22304177660674457,0.22659344870885542,0.3765909461391751,0.6738818957787871,,2.8585514018691565,3.206903459655378,2.507746283488515,2.273151796336533,2.247715017237234,1.773130674119975,1.6126713082853066,1.749032642020247,2.672136923382033,3.90075547235391,4.183115067686872,10824,258.615524197257,264.8871352463931,285.03591768892153,304.98253124086904,311.81835093390794,317.6528453858363,318.7804048986126,315.92110504597036,307.6144089214514,293.99172753393583,277.15461254817916,260.6821468306463,248.21398606534925,252.19876691327678,267.8733127532656,276.47490084454773,281.19126819448337,287.5000713233307,289.4093764517964,286.8451847147169,279.7677660430929,271.44158269944006,263.80055609845783,252.0302820661041,46,840.6989572822063,66,"{""type"":""Polygon"",""coordinates"":[[[90.07444326523594,44.03727936257055],[90.10813291480905,44.03727933637147],[90.14182249808515,44.037279360186666],[90.17551212850542,44.037279361230624],[90.20920177725569,44.03727933945181],[90.20920177725569,44.17204235281124],[90.17551212850542,44.17204232409742],[90.14182249808515,44.172042315824555],[90.10813291480905,44.172042328044284],[90.07444326523594,44.17204228850379],[90.07444326523594,44.03727936257055]]]}"
