20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,stable,uc
8,5.333333333,5.930037817,17.85035116,12.72933549,27.99756888,25.24932469,13.15451108,10.33225284,15.16693679,5.716909778,8,4,3,7.994327391,10.5378174,12.38168558,11.0256618,12.40113452,8.402755267,7.560777958,4.379524581,5.357104268,3.333333333,25378,8,5
9.863697706,7.458569501,5.278272605,15.70040486,11.88205128,21.86882591,20.9417004,15.23940621,7.209176788,9.68582996,15.84345479,11.6437247,4.872874494,8.106072874,3.787584345,3.865317139,13.29878543,15.76410256,20.14763833,19.57408907,13.82078273,7.573549258,13.42240216,5.481511471,27141,8,5
7.080410607,1.333333333,2.143712575,6.631023667,15.62560593,18.54491018,36.88879384,15.8762475,14.64955803,6.620188195,4.925007129,4.95580268,1.70687197,2.54205874,2.423153693,10.38323353,17.35329341,21.66609638,13.3279156,17.84944397,12.6720844,8.908183633,2.525235244,2.29597947,16691,8,5
3.312820513,0.77219973,1.943319838,12.30769231,24.07962213,30.41835358,26.35681511,39.67638327,49.91443995,8.767071525,0.666666667,0.017273954,1.145479082,1.147908232,6.530634278,9.09122807,13.1025641,30.00134953,10.18326586,32.65883941,26.10580297,7.971929825,3.98974359,0.073954116,6480,8,5
2.700971984,0,0,0.944539737,4.993996569,7.420811893,17.62264151,5,4.333333333,1.610634648,0.624928531,1.245283019,0.333333333,0.333333333,1.192681532,2.939965695,8.127787307,6.058604917,7.356489423,6.353344768,5.098627787,1.583476272,0.028873642,0.20754717,14121,8,5
8.802699055,6.878812416,5.15168691,15.24453441,11.11093117,21.7074224,20.23697706,15.05668016,6.367881242,9.063967611,14.37165992,10.01727395,4.487449393,7.609986505,3.682591093,3.451282051,13.73684211,15.59649123,20.65883941,19.73684211,12.78758435,7.70634278,12.62375169,4.314709852,27143,9,5
13,9,7.497141224,26.92738708,13.20468839,29.40937679,26.51172098,12.8184677,13.58833619,14.84419668,9.481989708,12.11778159,7.714408233,5.666666667,4.783590623,8.846483705,15.34791309,13.25643225,17.04030875,9.071183533,12.83161807,6.399656947,6.949399657,5.666666667,24282,10,5
9.005722461,6.187982833,8.076108727,25.70443491,26.56852647,35.2037196,32.70643777,17.97110157,16.28354793,40.02889843,7.573390558,9.357939914,3.97453505,4.533619456,14.56623748,19.6434907,14.44778255,25.44120172,19.42460658,19.0472103,13.6148784,13.58826896,8.079828326,5.01316166,25504,11,5
2.666666667,0,0,0.811034877,4.651515152,6.728416238,17.94739851,5.159519726,4.149799886,1.112349914,0.318467696,1.114636935,0.568610635,0.333333333,0.825900515,3.115208691,7.112635792,5.395082905,7.144654088,5.803316181,5.613493425,1.028587764,0.159233848,0.159233848,13770,11,5
18.33533276,13.34018852,12.32105113,30.16223936,45.79463011,48.86318195,60.86489574,37.97829192,21.88688946,32.54155955,22.40074264,22.38217652,10.98828906,10.07969152,12.15481291,21.68751785,46.20308483,50.83404742,59,51.95429877,39.5935447,16.02399314,18.06683805,9.283347615,27548,12,5
3,1,0.902027992,5.779205941,6.928020566,25.02227935,34.52556412,15.83804627,8.980291345,2.968866038,0.968866038,3.12167952,1,1,0.568694659,3.920594116,23.66980863,26.27249357,23.90259926,23.41416738,7.122822051,2.156812339,0.151099686,0,17642,12,5
4.536020583,2,2.333333333,15.27015437,18.37478559,40.77472842,56.14036592,29.00200114,20.48713551,12.46512293,3,4.882218411,2.941395083,2.719268153,3.607489994,21.73584906,20.02773013,43.01429388,28.28530589,37.58719268,18.66409377,10.26357919,4.532018296,0.749571184,19850,13,5
7.791093117,1.333333333,1.732793522,6.068825911,12.90310391,15.85533063,32.9071525,13.50661269,12.20215924,6.196491228,4.654790823,5.109851552,1.946018893,1.843994602,1.666666667,8.881241565,15.69554656,13.75195682,14.39136302,16.58326586,11.69095816,6.997031039,2.176248313,2.488259109,16999,14,5
3.372431507,2.333333333,1,7.596461187,22.63641553,30.31478311,17.7402968,27.39355023,39.88013699,10.31421233,5.70890411,1.950057078,1.588184932,1,1.719178082,12.4880137,18.91809361,17.82734018,12.53738584,25.99857306,34.28110731,8.412100457,2.392123288,1.333333333,5935,14,5
4.95025729,0.640080046,0.522298456,2.48427673,6.581189251,9.044596913,23.81246427,8.624928531,6.320754717,2.573470555,1.294168096,1.747855918,0.952544311,0.960834763,1.57404231,5.735277301,10.39565466,7.947970269,9.783590623,11.00428816,7,2.906803888,0.333333333,0.441109205,16395,15,5
2.716695254,1.036592338,0.666666667,5.419668382,16.71383648,31.9782733,34.45168668,27.05145798,39.11149228,8.286163522,1.816180675,2.859919954,1.335334477,0.851629503,1.333333333,8.26329331,19.66152087,25.25728988,14.81560892,39.2481418,36.08747856,4.594053745,1.666666667,1.175528874,9233,15,5
18.54888508,12.53030303,8.367066895,27.69496855,22.83562035,25.01372213,28.73870783,13.33333333,12.95626072,44.4193825,17.52830189,22.79302459,9.936821041,18.21240709,13.91909663,21.69754145,12.69782733,15.1240709,11.03630646,23.53744997,13.21640938,15.74156661,15.01086335,10.98885077,23535,16,5
4.318467696,2.71841052,1.666666667,10.4271012,29.67981704,38.49056604,28.67695826,44.83676387,53.14465409,14.11177816,5.443396226,1.316466552,2.333333333,1.351629503,2.588050314,13.19411092,23.96969697,35.38393368,21.03430532,28.66209262,37.36106346,10.64551172,3.628930818,1.140365923,4056,16,5
1.333333333,0,0,2.381522669,1.666666667,12.89136014,4.803250642,2.566010835,0.03421728,0.173367551,0,0,0.706016538,1.899344169,1,0.396920445,3.958368976,6.874536641,5.495865412,3.961220416,0,0.173367551,0,0,5855,16,5
3.946288799,1.402159244,1.394601889,13.75330634,24.56383266,32.81403509,33.91012146,48.16734143,58.5757085,11.75951417,1.828070175,1,1.820242915,2.886909582,4.5365722,16.6194332,18.62834008,37.69689609,13.20647773,48.59352227,31.16167341,11.84723347,6.49851552,0.333333333,4549,17,5
12.61268556,9.487719298,8.404318489,28.37894737,8.982995951,26.2534413,22.46315789,9.176788124,11.25910931,12.9265857,11.57894737,10.6391363,5.117408907,5.743859649,4.937921727,8.946288799,13.10796221,13.92442645,16.86531714,11.29959514,12.32604588,8.335222672,9.570580297,4.732253711,24130,18,5
