20000101_pr,20000201_pr,20000301_pr,20000401_pr,20000501_pr,20000601_pr,20000701_pr,20000801_pr,20000901_pr,20001001_pr,20001101_pr,20001201_pr,20200101_pr,20200201_pr,20200301_pr,20200401_pr,20200501_pr,20200601_pr,20200701_pr,20200801_pr,20200901_pr,20201001_pr,20201101_pr,20201201_pr,Id,gc,stable
4.333333333,0.666666667,1.066073355,4.410733549,15.02022654,8.932847896,13.46736785,17.02858684,18.78613808,2.507281553,7.516720604,3.341423948,1.350053937,1.646709817,3.604638619,13.22518878,17.64967638,16.76375405,6.892125135,8.919093851,7.21574973,2.695523193,3.884304207,0.86785329,10075,5,17
9,7.495858326,5.994572979,19.10968295,12.81948015,26.61953728,27.61896601,13.9134533,11.48757498,13.5367038,6.99571551,9.909168809,5.223936018,4.666666667,5.874321622,5.84947158,21.22536418,11.64552985,13.77806341,16.81262496,14.45072836,5.199657241,5.656955156,3.666666667,25549,5,18
12.92738708,8.354774157,9.732418525,21.90451687,27.11863922,34.3401944,35.49885649,16.21583762,12.17581475,30.33790738,14.23870783,15.95283019,8.039736993,8.891366495,12.73899371,13.92510006,22.36277873,27.37449971,19.5971984,23.34076615,18.68724986,11.29016581,9.27672956,7.436821041,26970,5,18
2.666666667,0,0,0.333333333,4.333333333,6.333333333,16.36493787,4.564289573,4.027822798,1.273905997,0.414910859,1.574284171,0.333333333,0.333333333,0.333333333,2.333333333,5.259049163,5.580767153,5.962992977,4.171799028,6.069421934,1,0.13830362,0.291734198,13052,5,18
2.666666667,1,0.779487179,4.666666667,6.380566802,23.73225371,27.04345479,12.85587045,6.564102564,1.502294197,0.666666667,1.666666667,1.278002699,1,1.108232119,3.376788124,24.28852901,16.39541161,16.44696356,26.09635628,4.851821862,1.091767881,0.333333333,0,18243,5,19
7.666666667,5.381916329,5.550067476,20.78569501,21.21646424,35.96410256,37.1562753,23.6925776,16.78137652,20.99649123,5.873684211,7.672604588,4.248043185,5.715249663,7.026180837,13.88151147,21.78893387,31.28448043,20.13954116,19.96410256,13.36383266,10.06261808,7.040755735,3.82537112,22710,5,20
2,1.990011416,1.169520548,11.11843607,22.58019406,35.36872146,38.38356164,54.66152968,59.94377854,14.73373288,2.674657534,0.479452055,1.333333333,2.761130137,4.428938356,13.95234018,17.95176941,29.12928082,19.0696347,57.10273973,30.26740868,14.17294521,5.325342466,0.160388128,3419,5,20
3.181523501,3.364397623,3.004051864,15.85575365,45.54727175,66.15289033,49.36358725,66.88573744,79.36115613,17.99486764,6.241491086,0.976769314,1.848190167,2.114802809,6.054294976,21.87277147,38.4910859,56.26148028,52.1469476,53.24041059,54.38357645,13.15694219,4.019448947,1.044570502,3609,5,20
10.7077274,8.256914742,7,25.12802965,13.36184773,28.53778158,26.91274594,13.65982321,13.04191617,14.5560308,8.671228971,11.1568292,6.360707157,4.424579413,5.333333333,8.125463359,17.06814942,12.05617337,14.44254348,13.79384089,13.57000285,6.161676647,5.333333333,4.686341603,24926,5,21
5.240755735,0.333333333,0.666666667,2.27071525,6.333333333,8.639946019,22.40026991,7.692307692,6.20782726,2.666666667,1,2,0.666666667,0.333333333,2.108502024,6.573279352,10.74952767,7.828609987,8.246693657,8.451012146,6.597031039,2.87071525,0.333333333,0.333333333,15766,5,21
16.12310768,9.333333333,8.224507284,37.81005427,39.30848329,44.79063125,61.30162811,32.48071979,31.79662953,45.26421023,14.96658098,18.21279634,9.333333333,12.52956298,16.41359612,32.13424736,41.35247072,47.37960583,50.5646958,34.76263925,24.54612968,24.86003999,16.03656098,9.027992002,21823,5,22
10.30821918,7.681221461,7.651826484,21.48972603,19.1515411,29.17437215,28.08219178,15.0408105,14.3293379,37.19292237,6.178652968,8.315353881,3.975742009,3.591609589,11.55707763,20.39982877,11.95319635,13.69777397,13.43207763,16.38299087,9.836187215,8.020547945,6.361872146,3.695205479,25198,5,23
15.27420737,10.12510711,12.22365039,33.13424736,39.06798058,51.23364753,48.24307341,24.50471294,20.48100543,40.72407883,15.66666667,17.45786918,7.987717795,12.5367038,16.92716367,23.506998,30.42616395,38.02485004,28.55098543,37.944016,23.55755498,15.10168523,12.39931448,9.2753499,26578,5,23
2.333333333,0,0,0.439234708,4.127189437,3.719752088,15.65211533,2.666666667,2,1,0,0,1,1.841552142,0,3.459983832,2.322554568,9.284828887,2,0.666666667,2.333333333,0.14820803,0,0,4383,5,23
1.195254431,1.203544883,1.348198971,10.47369926,37.62607204,62.71983991,65.97941681,56.81103488,75.17467124,11.64808462,3.510291595,3.53030303,1.637793025,1.393367639,3.600343053,15.66295026,33.47998856,53.20325901,43.74128073,66.62035449,59.08176101,9.269582619,2.63950829,1.626072041,6959,5,23
4.308522114,2.035598706,1.658845739,13.91289105,43.95307443,68.40372168,64.86488673,60.32551241,83.20415318,13.27669903,4.931769148,4.108414239,2.801510248,1.801510248,4.132416397,20.08872708,35.97545847,58.02831715,44.73220065,73.26348436,65.42745415,12.04800431,3.333333333,1.862998921,6420,5,25
2,0,0.333333333,2.666666667,5.356564019,16.90491626,28.05429498,10.48190167,6.617233928,1.344678552,0.337925446,0.837925446,0.333333333,0.333333333,0.475688817,2.333333333,19.90032415,12.19421934,15.05402485,15.94273366,4.710696921,1.674230146,0.004592112,0,15795,5,26
