system:index,Albedo_01,Albedo_02,Albedo_03,Albedo_04,Albedo_05,Albedo_06,Albedo_07,Albedo_08,Albedo_09,Albedo_10,Albedo_11,Albedo_12,ET_01,ET_02,ET_03,ET_04,ET_05,ET_06,ET_07,ET_08,ET_09,ET_10,ET_11,ET_12,Id,LST_Day_01,LST_Day_02,LST_Day_03,LST_Day_04,LST_Day_05,LST_Day_06,LST_Day_07,LST_Day_08,LST_Day_09,LST_Day_10,LST_Day_11,LST_Day_12,LST_Night_01,LST_Night_02,LST_Night_03,LST_Night_04,LST_Night_05,LST_Night_06,LST_Night_07,LST_Night_08,LST_Night_09,LST_Night_10,LST_Night_11,LST_Night_12,crop,ele,unuse,.geo
00000000000000000061,0.3167098214538896,0.24435279918652347,0.2231791539075038,0.21860621649967485,0.21437682628020396,0.2073047641449969,0.20554183934938897,0.20339608045123925,0.20481262921176144,0.21330629299553644,0.22322805865370274,0.27211058301734775,5.7703670494249915,5.908038353393406,4.337845981799029,3.4469344485503584,3.327920333402318,5.018606840669399,7.471187278066602,8.086586799078889,6.044202260010307,4.42426143018973,5.024074243313122,5.3705872003247235,2114,276.07618196971504,285.6892510936789,296.06254956959253,304.4041808806442,310.63648485412614,312.62919061216473,313.3705961187462,310.3577516915583,304.1550072276548,296.3318997623712,285.6760579362983,277.1103425406613,257.9422289915087,262.00615897427843,269.3564422743856,275.64204707530075,280.43480563976783,286.1816522080815,288.88880843435925,286.91733704845007,281.0173121606351,273.34475103928975,266.14646381331016,259.4243081984385,89,1652.5462668172947,76,"{""type"":""Polygon"",""coordinates"":[[[100.09159970661206,38.826561184153135],[100.1365207608822,38.826561186217994],[100.18144171894772,38.82656117714874],[100.22636272256773,38.82656113473702],[100.27128365735477,38.82656113813874],[100.27128365735477,39.00624061333982],[100.22636272256773,39.006240622734076],[100.18144171894772,39.006240603320734],[100.1365207608822,39.00624063366441],[100.09159970661206,39.00624065725071],[100.09159970661206,38.826561184153135]]]}"
00000000000000000122,0.3374832788591412,0.23783937531703764,0.21933030558057498,0.20749777547308465,0.1949024606595191,0.187506750507106,0.18343234978276865,0.18816992715870404,0.19542043852340538,0.2054357159357103,0.2175306340693225,0.2832427864363737,5.090397207115353,3.3933513282717023,0.5735353750783706,1.855934046891092,5.245862853000936,6.195181672851328,4.799593374182098,5.526422657693705,5.53707211994502,2.0261561814834126,2.398650560394908,4.560387943154058,5438,275.9397239370826,289.7409736883857,305.1343089840625,317.04834924948176,324.7408988827389,330.75169359912974,332.4035066450589,327.86537758133034,317.4172085752595,304.3107799301885,289.78385321069385,276.73430174269964,257.9596817043737,266.1874645445857,276.73222806085204,285.2168037222683,290.97343235545264,297.26604117207484,299.77260858765703,296.9690424936724,288.98659292461906,279.13404692922734,269.23002834894635,259.6901527010338,89,-26.025954266791956,77,"{""type"":""Polygon"",""coordinates"":[[[89.67016329013431,42.5998390717722],[89.71508316683214,42.59983911187985],[89.76000309224753,42.59983909339292],[89.80492290266812,42.59983909096085],[89.84984279097135,42.59983910517403],[89.84984279097135,42.77952300043395],[89.80492290266812,42.779523016121814],[89.76000309224753,42.779523053117714],[89.71508316683214,42.77952303635161],[89.67016329013431,42.77952304039235],[89.67016329013431,42.5998390717722]]]}"
0000000000000000012e,0.4932985564579666,0.33356299531782596,0.17377928323526823,0.16771225073196808,0.16370925601297695,0.1609676804868309,0.15811012968244625,0.16108464529706076,0.1658395053952277,0.17272603078604565,0.19898272523953314,0.3019016114592902,5.683726545253863,4.613742456205939,1.5486872457016208,1.2599147713900307,2.198749637339986,3.8424686658130365,4.325266047418364,4.334685220890267,2.9987348743971256,1.900493415221499,4.24194462706466,5.056287062347385,5575,270.87124051766403,283.9347659658429,300.36716917048966,310.9349104943879,318.24786374734936,323.83514116798176,325.3497984344134,322.287223427054,312.8005969531013,300.5300883482544,286.5952893776101,274.59919092654775,256.6582484943965,264.0465070197289,273.92135906094984,281.51557194507484,287.26042654206753,293.85322091004787,296.50423997069464,293.74390683706196,286.1176978289445,276.810922577753,267.6177481141794,258.9429835778539,89,859.2954139735306,115,"{""type"":""Polygon"",""coordinates"":[[[93.4434412546184,42.77952304601744],[93.48836110569432,42.779523037345506],[93.53328101361777,42.77952299580788],[93.57820087868127,42.7795229955331],[93.62312075621449,42.77952303147504],[93.62312075621449,42.959202496928086],[93.57820087868127,42.95920249330924],[93.53328101361777,42.95920252983865],[93.48836110569432,42.95920253743131],[93.4434412546184,42.95920251634577],[93.4434412546184,42.77952304601744]]]}"
000000000000000000e7,0.5744334562889601,0.5606255461892801,0.3223206799057584,0.1827285682887645,0.17860983074577594,0.17804256323402978,0.17910250835185262,0.1803287351955166,0.18149662799791993,0.18389884521910585,0.22977008544067618,0.4915797262709847,5.87613807925628,5.802901557446063,2.7866686733790367,2.3751863720790256,3.6497106041837513,5.107868637254719,6.1063362348422885,6.5500558242380675,3.934404856992736,2.4657283232123013,4.743697340224094,5.637252639302797,4293,275.1150521901305,285.14937464986264,298.77223214337357,308.1346928854326,313.5651173482016,318.47622323544186,319.3907888205872,316.72140621669274,308.74866489391513,299.66383312537914,288.05276511248445,276.67829861735817,258.30809369187836,264.98232915385984,273.7688453835992,280.44488943548185,284.75694118568407,289.1102862532587,291.29993713030285,289.7230165121585,284.8281750193709,276.59463430172184,268.79921951692506,260.7921764708726,90,1260.269746418448,204,"{""type"":""Polygon"",""coordinates"":[[[79.60808140208398,41.16240324530666],[79.65300127390493,41.16240327276576],[79.69792109352832,41.162403274103205],[79.7428410041791,41.16240327231199],[79.78776089188842,41.1624032671511],[79.78776089188842,41.34208278313215],[79.74284100417911,41.34208276587407],[79.69792109352832,41.34208274744086],[79.65300127390493,41.34208272807803],[79.60808140208398,41.34208276048435],[79.60808140208398,41.16240324530666]]]}"
00000000000000000101,0.48443725341811256,0.45157439916646513,0.23324975261227374,0.22865521590046162,0.22420397076178955,0.2200881636638062,0.2208049519188261,0.22240110000290425,0.22629716560857208,0.23431137256954312,0.2526806659454871,0.4042736419376455,6.329345842450588,6.503955874010359,3.460727144310052,2.391158719391739,2.8136308573644246,4.611972612692251,4.869932394118587,4.708145978507582,2.989991206351093,2.8089873389073645,5.414263498222973,5.9087828321020455,4755,269.48828752650866,279.7966927185881,296.15427301394527,305.71620636762106,311.94102061615877,317.0208237087527,318.65027032945045,315.27984312582663,306.96999128914433,297.1886662506739,285.1982192647123,272.6807855957134,255.96134248432318,263.5734067721218,273.07489632270637,279.5336304523709,284.20512329265114,288.7864271836943,291.1349632978749,289.5083859117637,284.2709673107337,275.9163675833687,268.1115875086333,259.135364948463,90,1277.7904958904614,214,"{""type"":""Polygon"",""coordinates"":[[[82.12360302695353,41.7014416884215],[82.1685228512746,41.70144168898401],[82.21344272675361,41.70144171864457],[82.2583626054625,41.7014417060368],[82.3032824391526,41.70144173093411],[82.3032824391526,41.88112114590722],[82.2583626054625,41.8811212202531],[82.21344272675361,41.88112118472552],[82.1685228512746,41.88112118576171],[82.12360302695353,41.881121219158295],[82.12360302695353,41.7014416884215]]]}"
0000000000000000008f,0.33399839529612657,0.30116279777124033,0.26241346599879406,0.25026311349432473,0.23529245518568204,0.2270105556962277,0.2238317967121737,0.22550530534048668,0.2349578484607193,0.25277578339633633,0.26340581346345215,0.2735291879094222,5.379166666666666,3.59,0.7458333333333333,0.6442307692307693,0.7086956521739132,0.577922077922078,0.4625,0.5289473684210527,0.7298701298701299,0.7068965517241379,2.4684210526315793,4.815,2541,281.01757475180193,290.67750339893905,301.70285664276764,309.9106986891654,317.796449935034,323.14072047393284,322.6574777261374,319.59329739583455,312.86354148341263,303.69334199152325,292.3959714274371,282.00138592020363,257.3857273898391,264.14000395892583,272.7351622828716,279.1618315457458,284.2672370872087,288.8390000420426,290.81665148572307,289.2727584899284,283.92056983114315,274.90529108695074,266.8818540360175,259.3670343037259,91,1138.0433596945732,28,"{""type"":""Polygon"",""coordinates"":[[[77.99096160532451,39.36559958136589],[78.03588152573226,39.36559957182979],[78.08080134884574,39.365599575050936],[78.12572123070564,39.36559961903063],[78.17064115288521,39.36559955749369],[78.17064115288521,39.54527908313692],[78.12572123070564,39.545279101106196],[78.08080134884574,39.54527909404059],[78.03588152573226,39.54527905217173],[77.99096160532451,39.5452790252677],[77.99096160532451,39.36559958136589]]]}"
00000000000000000090,0.3932271020682064,0.3192313938479985,0.23117877420845556,0.21693480049248087,0.2134417238003792,0.2084016044245092,0.205885602573819,0.20397569440520466,0.20635398729952625,0.21385012871581635,0.23395610460170485,0.3617339346081348,5.204207721784753,4.9158937895910375,3.3751191151089963,2.896596537960582,3.0813924248053275,4.9575777564615695,7.957197243706692,7.651174613333838,5.150162540413277,3.506196810514443,4.301290104841724,4.682763551705952,2656,273.28791360594556,283.7438537666873,298.2807832425229,308.2494518939116,315.08633353335586,318.52150585849427,320.5798662744008,316.619954974651,308.8916164207422,299.33812885977153,287.41316056779914,274.93175670652096,257.0990907923868,262.89978265145936,270.0943333338276,276.4193296550233,281.30865307820113,287.34633472402726,290.4404784802645,288.20414164641556,281.6253816453526,273.45133194347665,266.20080198600107,259.0065071711738,91,1638.4667265956082,151,"{""type"":""Polygon"",""coordinates"":[[[98.65416388146866,39.36559960217763],[98.69908377635241,39.36559959171671],[98.74400366486402,39.36559955278993],[98.78892350698834,39.36559955859334],[98.83384343124844,39.365599590963285],[98.83384343124844,39.545279077425114],[98.78892350698834,39.54527905032769],[98.74400366486402,39.54527905456861],[98.69908377635241,39.54527903002798],[98.65416388146866,39.545279060338565],[98.65416388146866,39.36559960217763]]]}"
000000000000000000f9,0.37568368334965097,0.29755937270798555,0.2472943173215258,0.23529510538067483,0.23267226887806214,0.23047828951469795,0.23101106771263025,0.2333752935106923,0.2382708964275845,0.25069745781812475,0.2696214459967211,0.33652765715566096,6.25,4.739393939393939,1.1744680851063831,0.9637931034482758,1.8071428571428574,3.7026315789473685,4.9828947368421055,6.630769230769231,4.778205128205129,2.1210526315789475,4.061702127659575,5.5625,4610,273.35156948598615,282.6748226678166,294.10265457652065,303.29384939112407,309.1040639823357,314.2870201207939,316.49695009875467,313.30991536199286,305.85503097477294,296.5763166363328,285.2120086920921,274.93113216109975,260.03578134012196,266.1234550835287,274.5601818962565,280.8099268167766,285.4185175770138,290.0660371429613,292.57241495757796,290.9448679808983,285.7260026846936,277.8279067416536,269.8555569960861,262.0928358201086,91,1292.682824288265,202,"{""type"":""Polygon"",""coordinates"":[[[82.3032824391526,41.52176223624834],[82.34820234481536,41.52176221093207],[82.39312219051253,41.52176223345235],[82.43804209221707,41.52176224300686],[82.48296191728876,41.52176223810595],[82.48296191728876,41.70144171279112],[82.43804209221707,41.70144167939341],[82.39312219051253,41.7014417108401],[82.34820234481536,41.70144173302977],[82.3032824391526,41.70144173093411],[82.3032824391526,41.52176223624834]]]}"
0000000000000000006d,0.46924876104471314,0.4039690818159442,0.22741555204934022,0.22080132861792964,0.22544508630797092,0.2274388398952955,0.22619918851431303,0.22560180936221347,0.22728055972956207,0.22926268497740232,0.25192365412895185,0.3978264087004504,5.094416873449132,3.8003125000000004,1.6149038461538463,2.127645502645503,3.542103142626914,3.1283368458025995,4.244200949367088,5.078887987012988,3.494471153846154,1.7295800365185638,3.0720175438596495,4.850915032679739,2167,276.68082910822835,286.27259028722784,300.8319110370849,309.85613908380765,314.6060892954148,320.54766349842373,320.51313137004803,316.6049751805014,309.9713515349381,301.32648972327667,290.54213049233726,279.06114795465874,260.41769451976955,266.6497894665473,274.7248250303677,280.44531426891984,284.534585153804,288.79072776519996,290.77918644719136,289.1432157431307,284.48076526408653,277.2005331760725,269.4983667197779,262.62739469058414,92,1342.5764501663527,55,"{""type"":""Polygon"",""coordinates"":[[[76.01448290996066,39.00624061094455],[76.05940280674345,39.006240667542535],[76.10432264956188,39.00624063734089],[76.14924251846416,39.00624062211612],[76.19416240476353,39.00624063476332],[76.19416240476353,39.18592008408104],[76.14924251846416,39.18592009310858],[76.10432264956188,39.18592013054119],[76.05940280674345,39.1859201056436],[76.01448290996066,39.18592007250351],[76.01448290996066,39.00624061094455]]]}"
00000000000000000098,0.3701828018466437,0.30795133187628676,0.240946615171801,0.23038457975173177,0.22439093649970385,0.22358974927039932,0.2233359616658433,0.2244052651331645,0.22633850722422036,0.2326596198698974,0.2490594596899921,0.31948035712578987,5.418492314158035,4.314972945935736,1.785763684679343,2.0355998964614823,3.264336002807318,2.3035838207770376,1.944855275850319,3.0472456899623666,2.7333887785841617,1.5843792529971252,3.231631420851538,5.1065996186343545,2714,276.2044041177795,284.686558536682,297.99690201543496,307.08280116609114,312.2508270885051,317.834366577439,318.60626349020527,315.1402662846432,308.4259276981887,299.46809439296993,288.38953106579584,277.3859459232303,262.10943603719,267.81769071239796,275.8216975309355,282.0740927329001,286.67969731219137,291.13634543075034,293.02959450770186,291.45371617924377,286.67834555461235,279.45615317567643,271.78327906983327,264.2714878682598,92,1410.7399579390117,184,"{""type"":""Polygon"",""coordinates"":[[[76.01448290996066,39.545279071596624],[76.05940280674345,39.54527910287141],[76.10432264956188,39.545279049092436],[76.14924251846416,39.545279088851416],[76.19416240476353,39.54527908026838],[76.19416240476353,39.72496302266942],[76.14924251846416,39.72496300715518],[76.10432264956188,39.72496302080776],[76.05940280674345,39.7249629735319],[76.01448290996066,39.72496299583501],[76.01448290996066,39.545279071596624]]]}"
00000000000000000145,0.5537789108134915,0.5439560529390307,0.2881278023921266,0.16231774716349798,0.15794506496175956,0.15646520108063947,0.15768035590503682,0.15947880883849602,0.16370949230241616,0.16891496495320263,0.20281333191616066,0.5036946726492265,5.435866972039317,7.098962826855682,7.172951270364432,5.261555872899678,3.318353423669891,3.378895536541317,3.142904030058209,2.8928743085142252,3.3058894734303945,4.7702070622494395,6.370874290196044,5.200199122526501,6373,259.3173804132872,267.7351214816353,290.9111624317221,305.2706356315483,312.18138067686357,317.15264263897063,316.5147688493973,313.7491476209449,304.94537623051707,293.1215665312041,279.46199379616934,263.2634552458977,251.0316716801755,256.8477993704847,271.28170210879284,280.4646357515726,286.18313706184995,291.3661862015789,293.17488958713017,291.12345446108714,283.9585790861028,274.9297734999923,266.40722719123,255.6969371925111,93,406.3604395604394,63,"{""type"":""Polygon"",""coordinates"":[[[82.12360302695353,44.576322264325235],[82.1685228512746,44.57632224254784],[82.21344272675361,44.57632227849392],[82.2583626054625,44.57632223356149],[82.3032824391526,44.57632225470475],[82.30328250410291,44.7560017469609],[82.25836258130511,44.75600170507285],[82.21344274759272,44.75600173268985],[82.16852284987658,44.75600174797075],[82.12360296466488,44.75600175587796],[82.12360302695353,44.576322264325235]]]}"
