Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,fc,stable
0.2927041,0.236549786,0.25277683,0.225297046,0.226823352,0.213039614,0.218886737,0.204751792,0.199034471,0.198572293,0.190329571,0.186516509,0.176638494,0.177940075,0.179776815,0.176462127,0.184555709,0.178628254,0.200871256,0.191211194,0.212438609,0.214612785,0.220670753,0.228107707,3.311143841,5.302849459,2.783301454,2.216922341,0.281761941,1.323971621,0.531474114,2.63903766,1.6357785,3.435626348,1.879975954,5.794767105,5.560807192,7.751147666,5.587213083,7.74831038,3.872475134,5.672149962,0.888867636,1.771696421,1.951650454,3.083198362,5.246015047,4.586053593,6792,276.38978,279.034224,285.5523897,288.7030069,297.4070696,298.9701655,304.6156251,304.3389571,308.809109,310.1840231,311.5191018,311.5819268,309.7733799,310.0289346,306.2629291,306.1553175,303.5848253,302.6937943,297.3842265,296.6808982,289.1064718,285.7722446,276.6635208,278.8575219,259.1131394,258.3801597,264.6293114,264.4543146,272.4260546,272.1216074,277.6871841,279.5622177,284.0394528,283.3969294,287.1452969,287.720428,288.3160569,289.1755316,286.8558824,287.3712096,281.2744962,282.3491943,274.6822153,272.6449464,267.6427316,264.8130757,261.7034242,259.4415166,1195.120888,5,12
0.278273957,0.241487095,0.27718499,0.238844484,0.266934607,0.233726291,0.256528755,0.233440677,0.242229083,0.224996585,0.242351234,0.201077349,0.236926943,0.188476349,0.23317534,0.189703355,0.234933874,0.196872485,0.251060547,0.213775301,0.265232666,0.22753384,0.279223846,0.236502487,5.796065808,6.424609135,4.973433476,4.787706928,1.957142857,3.01862856,1.766666667,2.566094421,1.416492949,2.414904409,1.19744533,5.326716738,1.158959227,11.03818442,1.979667382,12.93519313,3.274072655,5.783905579,3.776566524,3.378998569,4.373175966,5.32527897,5.718061516,5.553278493,7932,277.4816723,278.5962411,285.335133,289.140093,295.9194993,298.081695,301.6061803,306.5572575,309.7392197,310.4598595,312.8345322,312.4714485,318.9240808,311.2159943,314.8864768,308.8463659,305.6799034,304.4946745,298.1542833,295.8636438,286.1540607,285.535197,278.4941664,278.4593562,259.3131545,257.4516559,262.9898541,262.6920601,270.0453433,269.3764992,274.4399313,276.0427167,281.9294889,281.254167,287.4592189,287.7395966,290.4507332,291.0876395,287.3527253,288.0932296,278.8082904,283.1357296,272.554814,273.3884807,264.3149571,265.2903082,258.1002845,257.5586409,1112.188841,5,12
0.259726383,0.212678937,0.25207868,0.205948604,0.221188686,0.192068817,0.221390662,0.191197778,0.200333333,0.17931828,0.182329153,0.161627391,0.182495556,0.158694624,0.178546003,0.160066667,0.18122518,0.162984444,0.199978495,0.180376344,0.204862222,0.1869,0.234544587,0.209168813,6.372095238,6.400571429,5.109047619,5.529285714,2.296190476,3.715909091,2.132,2.926,2.8225,3.369090909,3.597142857,7.751666667,4.685,11.95166667,5.1025,12.035,4.226428571,6.76,4.058,3.6095,4.46,5.582,6.201666667,5.577047619,7619,277.5315,277.4215,283.3616,286.4046667,291.8905455,294.2022273,299.5417778,304.215,303.8476364,307.1823636,305.8821778,308.8571667,311.8148333,308.8858333,308.7421818,306.588197,301.4930303,301.9173333,295.1970667,294.4034,283.8015909,283.1524727,277.2968778,277.1843636,260.3275,258.3021667,263.9190667,263.606,270.746,269.6429242,274.9476,276.4672,282.6374545,282.0201818,288.7128,288.5472909,291.0136667,291.2253333,288.4858545,288.6296667,280.1648061,283.377,273.7169333,273.7126,266.4642727,267.0887455,261.1475333,259.5411667,1103.2,5,14
0.665958763,0.627239129,0.62132689,0.560639095,0.264253189,0.21617304,0.157614736,0.16237211,0.15975838,0.162243059,0.155888651,0.156383209,0.163503521,0.163798274,0.165160003,0.165231729,0.173493174,0.180731058,0.160020182,0.181811392,0.216193326,0.269107667,0.653458982,0.545915532,,,4.818834081,5.131954351,4.345733554,4.357952773,4.877828241,4.998472337,9.950312611,8.653456948,15.78235225,22.57857143,19.94544798,27.63345032,18.31334641,20.18874209,6.841640616,5.877745665,3.543634737,3.120127993,4.222222878,4.506310015,,4.998176438,23712,263.9216082,267.5874827,271.0000991,273.9717776,290.1665304,292.6444357,297.109858,304.5546334,303.1645387,309.7809759,304.6556994,305.7772509,305.6992658,306.6217534,304.9599876,305.5611746,301.5956716,302.0069344,290.548153,292.0434608,282.9050764,279.7699434,264.9328309,269.9271916,255.1271384,255.5308164,262.4866581,263.3979477,274.092286,273.6111182,280.3012337,281.2855186,286.4909887,285.4767286,289.4498633,288.1923992,289.6919405,290.4850447,288.8262719,288.6815145,282.8639754,281.5920094,276.2161398,274.3113914,271.1894991,266.1961133,256.7312447,260.9293228,754.478943,5,15
0.2133519,0.203809355,0.210887965,0.202533399,0.215605151,0.186503072,0.193869078,0.167716663,0.179479923,0.176037973,0.169742221,0.169041145,0.176242547,0.164094704,0.170777327,0.159189981,0.18058482,0.16245653,0.197887798,0.184556748,0.206794604,0.183901771,0.274486437,0.193782831,6.447471439,6.213070175,2.694253222,3.934105924,0.520487653,1.364838737,0.543578469,1.208047763,0.535504441,1.226428424,0.797259829,4.221843913,1.377388173,5.99123073,1.071853677,7.029393825,1.243195603,5.679599444,0.684169826,1.33033864,2.716917578,3.045181535,5.922323601,5.537958049,16439,274.5988268,275.1846514,282.1985056,282.4488514,293.0111928,290.7177161,296.5873207,302.4210687,307.8907547,307.1573954,308.7510917,309.5180839,312.0974482,307.3519017,308.7532714,304.6730414,302.633346,300.7202205,294.3556545,292.9156702,286.3534446,282.23383,272.3821152,275.5892077,257.0410879,259.0679079,263.1861722,265.2608329,272.1263925,272.5253949,277.6864033,280.2819856,283.8729037,284.0083369,287.1716088,287.7844996,289.7093418,290.178533,289.3331387,289.1820641,282.8317968,283.8252306,274.6865916,275.3935239,267.2974278,267.1611299,256.7402715,260.3521439,935.1645186,5,15
0.246882979,0.2562488,0.218214319,0.20280194,0.215555474,0.192615501,0.209976497,0.187447225,0.195858384,0.182707399,0.186366382,0.168871301,0.18656182,0.165615366,0.187207716,0.16713829,0.190115919,0.168816588,0.205705081,0.189931966,0.216516441,0.2004411,0.332151547,0.237042621,5.171468401,5.656927775,4.088431227,4.268618903,1.723506815,2.995399121,2.155650558,4.488594796,2.06806957,6.087137546,2.345544344,10.7905441,3.741737918,17.79387237,3.397137546,14.44021685,2.581869357,8.625408922,2.584894672,3.927732342,3.566446097,3.915867222,4.93330855,4.671861552,9233,276.0634888,275.7703801,284.1815851,286.45264,294.8591849,295.5923537,302.7172193,306.2412974,308.9021183,307.9297134,312.5170171,309.079666,317.2210886,311.1553693,313.6959477,308.1639399,304.8749026,301.5203371,296.4631923,293.5982654,286.8740673,284.1356516,271.6747637,275.9681439,260.1085218,257.582663,261.8314201,263.3596413,269.0916171,268.7359814,275.0194126,277.0771903,282.5502981,281.0155552,288.0154201,286.6117695,290.2383216,289.4326574,287.0279618,287.8433395,279.7148891,281.8662472,272.267344,271.6543033,265.709814,264.6175728,259.1305591,258.550219,1398.89368,5,15
0.40524714,0.221830119,0.331935156,0.209657089,0.199486083,0.189724579,0.188512485,0.187984115,0.179243065,0.189311211,0.17907352,0.182169506,0.160815113,0.171003204,0.154258576,0.160558325,0.167401809,0.161173816,0.191656076,0.183093272,0.199729488,0.198177194,0.210881935,0.21463537,4.167442966,6.006275801,2.993282636,2.340874525,0.324684275,1.709032579,0.353770596,1.863367395,1.02444154,1.754726927,1.2230717,4.253136882,3.644249049,6.383406786,2.734493821,7.145866459,2.254819052,5.925871356,0.66878327,1.794074778,1.569803549,2.778010139,5.394106464,4.867637041,9357,276.1116671,277.7484736,282.8617904,285.6723421,294.1900497,295.1203855,302.312707,303.3563981,306.8964401,309.7701266,308.4703979,311.9135425,307.7559659,308.4040034,303.7581676,303.5171838,301.044182,300.8262988,295.2701194,295.091557,287.1104605,285.2347679,276.8041078,278.0841275,258.5462439,260.3298636,265.1113175,266.3897597,273.2670408,273.5792687,280.214506,279.5302871,285.1383909,284.2162925,288.252479,287.7364424,290.2763785,290.0560324,288.8521053,289.1933581,283.0211585,283.8865549,276.2011678,274.4583894,269.5316602,266.0718335,261.3623491,261.1810317,1150.511859,5,15
0.541615556,0.59904302,0.544787446,0.48999131,0.287965992,0.220106947,0.199686447,0.188353894,0.187395699,0.194761313,0.18770634,0.192482222,0.189565591,0.196382796,0.197425806,0.196135484,0.200653333,0.193346667,0.201726299,0.211470968,0.233687514,0.249129798,,0.592235573,,5.133333333,5.625,6.573333333,4.823333333,5.507452381,3.640666667,4.57,1.75,3.130909091,3.391428571,9.523181818,7.5175,16.10488889,5.925,18.167,3.8725,9.361666667,4.764666667,4.248642857,5.930666667,5.242857143,,5.316666667,25034,259.9226667,258.7894905,274.7306667,272.5808095,295.2484,292.9655394,305.1916,307.697,314.8592727,315.0945455,316.6984,311.6785,312.8556667,307.8681667,311.7045,306.4131667,304.1591667,301.9568333,291.9767333,293.1412,284.2308889,279.9191722,266.183,262.6167429,250.6926667,249.2666667,257.1948,257.1673606,270.1858182,270.2571061,277.6536,280.1884,285.5363636,285.27,289.4506222,288.0455,289.9462111,290.0175909,288.7321818,288.4062424,280.7491667,280.1125,272.5324,270.825,265.7273515,260.1494545,252.4317333,251.9830222,305.8,5,17
,0.666843781,0.600360571,0.638969166,0.278535238,0.353058205,0.183235793,0.21346784,0.194036388,0.223630964,0.188847983,0.202011937,0.182516836,0.196400283,0.185402502,0.191539857,0.187019603,0.196490022,0.164594483,0.203828889,0.182536333,0.280200002,0.534291876,0.602966401,,,5.7,7.223433476,2.400626245,3.340133518,2.39205807,2.491404274,1.749978651,1.587258753,2.754678541,9.408911705,8.073900512,30.37219791,6.684899963,28.74711785,5.463936501,9.90630774,3.658222317,3.36030316,5.01528608,5.842010178,5.8,,25677,253.8730145,256.1057183,263.91001,264.6979716,285.8353259,288.1041028,302.5602323,308.8952553,314.2248288,312.9885078,315.1642152,310.0075719,310.759373,305.4417193,309.7636529,304.6699957,303.1179277,302.0677609,288.9371697,292.1453245,279.4508394,275.9529625,258.1582976,258.2885676,247.2134101,246.0803078,252.6050974,252.7405953,271.4601366,269.0936461,278.9812297,280.3579044,286.340104,285.9914556,290.4268849,289.7400923,291.1914297,290.2435062,288.746582,288.3120651,279.9211877,280.4830679,274.0770521,271.4404321,268.2349153,260.2283798,248.2777346,250.8618066,263.6157131,5,20
0.230346801,0.25291158,0.225645753,0.221984644,0.219912913,0.22857744,0.204870974,0.216916441,0.193363584,0.204562461,0.165622584,0.191679092,0.167971012,0.188628812,0.175918785,0.189499371,0.182301839,0.192186104,0.201811609,0.222021045,0.226766137,0.23395002,0.312587465,0.250920485,6.444135157,6.073289474,3.515071065,3.867769988,0.596575106,1.283215095,0.498511665,1.147278091,0.740345937,0.987379019,1.56985404,3.283207782,3.709412711,4.345625198,2.635830652,5.520852532,3.114380531,5.097425583,1.130008045,1.454397962,2.465443148,3.431771862,5.861310729,5.837297045,17951,274.9258398,276.2492696,283.4615554,284.6259813,295.5681409,295.9288006,298.9890918,307.046284,312.8298223,311.6717121,311.4263379,315.3043636,314.8477005,312.5022835,311.9078314,311.6407621,304.6987081,306.234709,296.3531837,296.3993266,287.5324406,284.7605054,270.0514025,277.1513921,255.9023512,256.0972775,261.6193349,263.0322169,270.6714853,270.5216365,276.6045197,278.7433854,283.3781979,283.5716302,287.9300161,287.6172987,290.5460541,289.7423642,288.6013415,288.3535847,281.3282589,282.2258434,272.9425733,272.2148286,265.0742304,262.4259636,255.5886775,256.9612116,928.8978278,5,20
