Albedo_01,Albedo_01_1,Albedo_02,Albedo_02_1,Albedo_03,Albedo_03_1,Albedo_04,Albedo_04_1,Albedo_05,Albedo_05_1,Albedo_06,Albedo_06_1,Albedo_07,Albedo_07_1,Albedo_08,Albedo_08_1,Albedo_09,Albedo_09_1,Albedo_10,Albedo_10_1,Albedo_11,Albedo_11_1,Albedo_12,Albedo_12_1,ET_01,ET_01_1,ET_02,ET_02_1,ET_03,ET_03_1,ET_04,ET_04_1,ET_05,ET_05_1,ET_06,ET_06_1,ET_07,ET_07_1,ET_08,ET_08_1,ET_09,ET_09_1,ET_10,ET_10_1,ET_11,ET_11_1,ET_12,ET_12_1,Id,LST_Day_01,LST_Day_01_1,LST_Day_02,LST_Day_02_1,LST_Day_03,LST_Day_03_1,LST_Day_04,LST_Day_04_1,LST_Day_05,LST_Day_05_1,LST_Day_06,LST_Day_06_1,LST_Day_07,LST_Day_07_1,LST_Day_08,LST_Day_08_1,LST_Day_09,LST_Day_09_1,LST_Day_10,LST_Day_10_1,LST_Day_11,LST_Day_11_1,LST_Day_12,LST_Day_12_1,LST_Night_01,LST_Night_01_1,LST_Night_02,LST_Night_02_1,LST_Night_03,LST_Night_03_1,LST_Night_04,LST_Night_04_1,LST_Night_05,LST_Night_05_1,LST_Night_06,LST_Night_06_1,LST_Night_07,LST_Night_07_1,LST_Night_08,LST_Night_08_1,LST_Night_09,LST_Night_09_1,LST_Night_10,LST_Night_10_1,LST_Night_11,LST_Night_11_1,LST_Night_12,LST_Night_12_1,ele,stable,uc
0.547658787,0.54338042,0.377319133,0.36346411,0.263692838,0.258112678,0.24511311,0.243130636,0.245816371,0.234502936,0.238618856,0.225119913,0.239917692,0.225166687,0.247564133,0.226070618,0.25274427,0.235120188,0.261719843,0.250974653,0.270277829,0.318511297,0.529368933,0.502864119,6.85,6.190083857,4.886792453,4.967501497,1.897436358,2.587596484,1.187185535,1.812619672,0.567407907,1.772218411,1.131364181,5.792186964,4.175511006,6.444421892,3.445086478,7.22097389,2.816902516,3.28736659,1.680843816,2.961963412,4.740333932,5.394154937,5,5.232138365,19904,266.9704307,272.7084691,279.624901,284.2513232,297.2871697,298.1548649,304.3740968,307.5033168,314.1221211,313.0743901,315.4100233,318.0281223,318.9329461,317.8338617,318.6659304,315.159254,308.2278674,307.7941092,297.508496,295.4170765,287.0179715,283.0423941,263.6241712,271.3717246,256.9531466,255.7669696,264.8109687,264.0694985,273.8044526,272.6195436,279.3070862,281.3597527,286.219708,285.172739,291.0059147,289.4711004,292.402532,292.1036462,290.6254711,290.7380671,283.2586556,284.4085086,274.4991818,274.3334044,267.6143277,264.7772326,254.9099652,258.0580709,1147.936833,31,37
0.71468693,0.662575902,0.700941223,0.648125604,0.372864148,0.37784495,0.290732792,0.268900611,0.286587332,0.265217141,0.286559409,0.265718777,0.286714545,0.26492499,0.292220065,0.268642032,0.289955171,0.275232407,0.292722176,0.28581168,0.323292075,0.290521447,0.493598049,0.595355181,,,,,,,,,,,,,,,,,,,,,,,,,26813,255.0372448,257.1936292,262.9621801,266.1454016,291.6922383,291.26069,306.1089465,311.5993334,316.6197381,317.3516017,321.6351337,319.4392826,322.1423594,320.365479,320.6692658,317.8031057,308.0185254,307.4553306,291.130769,295.155732,280.1608011,277.9213551,258.8603838,262.4244464,249.9088986,248.6435322,253.4497023,254.2657217,270.0867598,270.5470586,279.7308384,280.5940196,287.0967744,286.4270166,292.3986148,289.9983255,293.3727535,293.9204446,290.6122211,290.8771542,281.7475289,281.9779141,272.8006834,272.5338824,265.7581348,260.9935986,250.2592815,252.6636032,334.3785838,42,37
0.541157087,0.546272153,0.59030007,0.47747496,0.238330072,0.245870776,0.188066089,0.184655095,0.184915309,0.181294905,0.18524652,0.181676433,0.189677552,0.185209893,0.189000017,0.185265537,0.191354432,0.18715818,0.189440671,0.200040853,0.195487986,0.243080912,0.40810813,0.537940366,,,4.987164979,6.300475594,3.308135051,4.845398356,3.210005708,4.191867561,1.448774781,2.368043604,1.378792649,2.362020871,1.145482093,2.105148357,0.755436821,2.672307989,1.022429912,3.129326941,4.265466548,4.119753438,5.876326683,5.629970303,4.596694495,6.293634604,24720,263.0249082,260.2352677,269.4322976,271.9971603,292.2490687,293.6678837,304.5716874,307.9731711,314.5708157,314.4071349,318.0582312,316.8492976,319.524654,317.7511116,318.5935743,314.2079362,307.3048287,305.6671581,293.3858167,294.4959512,283.7611131,279.477328,265.7485674,262.4987099,253.7024029,252.0826447,257.9616789,259.2280473,271.5546094,272.3642954,279.7864419,282.7544928,287.6364348,287.8586886,291.8518728,290.9460097,293.6502058,293.9335673,292.9796129,292.2004368,284.7141652,283.7712326,274.8948463,275.1965247,267.9874023,263.3186954,256.1740836,255.7748518,458.7400189,44,37
0.73795929,0.674202864,0.708706348,0.67693777,0.415190051,0.393682321,0.230517357,0.222491864,0.228705592,0.21920478,0.227615717,0.218366272,0.228185049,0.218648332,0.227655494,0.220516675,0.23277534,0.227716054,0.234244456,0.235441985,0.244199383,0.269692047,0.483446435,0.523930487,,,,7.500174216,4.251737392,3.804330302,3.213115006,2.95661516,1.107701305,1.948532372,0.725197681,4.170551129,1.594346336,4.512630689,0.778340801,3.742869423,1.118906497,2.874215867,4.359824723,3.871755843,5.541356089,5.701365314,5.270571956,5.413911439,27096,255.6463776,258.5497854,263.9702231,266.3761917,288.2377143,288.5149749,304.5894542,308.7571761,314.7625923,314.4505496,318.6670167,316.4695145,319.2678592,317.5242458,318.0847832,316.8684968,306.6904587,305.7290233,289.7273069,293.5692541,279.9909878,277.2522133,261.3529294,264.0201717,248.205907,248.3167006,252.7334224,253.8486993,270.5663623,269.5915035,278.9953078,280.0279228,286.0423539,285.3390181,291.6584115,289.0260867,292.9252077,293.0708576,289.893669,290.4782312,281.0380674,281.4389039,271.9449176,271.7767171,266.5096858,260.6658434,250.9949226,252.8831124,536.4815977,22,38
0.512560223,0.571702295,0.599711682,0.473194198,0.370459421,0.229114902,0.180134292,0.185150145,0.187368321,0.180943549,0.178805573,0.178250022,0.186761404,0.180411472,0.191353525,0.180875452,0.190322831,0.184808451,0.187674329,0.196588447,0.214133874,0.234898301,0.379327669,0.551954966,,5.425,4.974944072,6.296100039,3.703656116,4.838734271,3.358408623,4.617056142,1.377551127,2.787981345,1.474785351,2.660636391,1.262005052,2.116426048,0.867025289,2.492887205,1.122552699,3.333221651,4.304289566,4.036491756,5.897234597,5.796170835,4.674104803,6.23826265,24564,261.4877211,259.2089547,269.4763276,270.7392865,293.5691234,295.3230713,305.0019439,309.6441177,315.1654218,315.749021,317.5008618,319.1455661,319.3476491,319.7241165,318.6658322,316.4927298,307.3000683,306.7659443,292.1599939,294.6916024,284.0594177,279.191851,261.9041137,261.195558,254.9663477,250.9888998,257.7606544,257.8462083,272.1716051,270.4935544,278.2767368,280.9710218,286.4505999,286.2487546,291.1938998,289.8043957,292.2869532,292.6691648,291.1685673,290.767719,283.0198034,282.3095315,274.2248842,272.7280786,267.6303494,261.2921126,253.4512429,254.2765536,499.3333333,51,38
,0.633278985,0.606621602,0.609655715,0.24273773,0.356691508,0.178965479,0.171661906,0.183400679,0.171718662,0.178336974,0.16496478,0.17460171,0.172724163,0.176548614,0.170795679,0.178937004,0.171802359,0.175217022,0.176332929,0.216596167,0.334918315,0.535588103,0.598940842,,,,7.1,3.22539446,3.175986149,1.996068955,2.544083777,0.689922893,2.179546413,1.609458425,6.542339155,3.065496086,8.277456817,1.946875941,9.864777176,1.866869919,5.797994626,3.359969889,3.019566838,5.023426679,5.356996888,5.799283388,,25227,254.883364,258.5544166,263.415303,265.8902297,292.2942116,289.6910723,305.4418579,309.6612469,316.2814875,314.7960926,318.9185432,316.2076137,318.1270807,315.0128325,317.1181002,312.7066481,307.1207555,305.0335777,290.8810396,293.7213613,281.0381024,277.1423761,257.5352231,259.2739076,248.841136,245.6673632,252.9373689,253.4953792,270.8465492,269.8863123,277.5925685,280.114972,286.0066234,285.4789431,290.6899493,289.038117,291.2305347,290.8852258,289.2305053,288.5729075,280.6562965,280.7116476,273.282406,271.5407525,267.3810797,259.5655085,250.5903439,250.5936364,341.1225534,21,40
0.744670188,0.710611377,0.759516683,0.722073386,0.550611956,0.51627528,0.261139171,0.262315413,0.268544563,0.258823484,0.268587605,0.258071399,0.272965938,0.25240321,0.275780526,0.254066924,0.278321739,0.262674363,0.290272228,0.280688624,0.298239527,0.427844798,0.600995935,0.66195188,,,,,3.695706889,2.737335291,3.184343389,2.387865765,1.299172823,2.023443494,0.749334005,2.216168871,1.134317042,3.914200056,0.731143169,4.363219772,1.16451637,3.455305234,4.269062369,4.530470312,4.933851134,5.608721815,,,27841,254.1841982,257.3997824,261.1178546,263.5578655,279.5932789,281.1119788,298.5780171,301.9936614,307.3556183,307.6207932,311.8815134,310.8180136,313.083931,311.0905177,312.5217737,307.5405959,302.6809973,298.4870184,286.4614068,286.7607996,276.7409877,272.1514882,256.4450936,259.0318656,247.6835001,249.4339578,251.8424507,253.7060104,265.9453534,266.4200269,276.2969112,276.1902536,282.7318237,282.8050618,287.8188086,285.9905624,289.0637551,289.5725294,286.6337353,286.9943621,278.3814091,279.0925119,269.9717498,270.8667846,262.6382372,260.2685641,250.7513196,251.8037293,609.4477465,47,40
0.747244362,0.674014465,0.730253562,0.729416635,0.453162578,0.42190533,0.16386935,0.160698297,0.156397534,0.160385188,0.152831263,0.158434339,0.154413997,0.160698112,0.153748664,0.159401408,0.161458125,0.165810351,0.22643489,0.173491028,0.415258735,0.540585538,0.751084766,0.692199917,,4.9,5.2,6.3,5.579820766,2.610714354,5.404227712,3.033985376,2.015497394,2.823096811,1.346242869,2.320809067,1.175283683,2.083096985,0.708765441,2.2700195,1.138459118,2.620982421,4.035868524,4.325605224,4.153787226,4.616666667,,,27324,258.2900584,260.9257199,263.2173775,266.1327083,280.7506344,282.9277083,297.1834846,303.5054329,310.5327043,308.9289102,312.9619259,312.8551008,317.3402988,315.4696904,315.3976184,310.9667155,305.6094386,301.6331722,285.5650834,288.762079,273.8975678,269.0082389,258.3500716,261.3544869,251.13155,253.1423171,255.0325981,256.6361544,266.570497,266.6158487,274.5812669,274.4566762,281.5261252,279.4861863,286.461341,283.8849007,287.1211249,287.6915364,285.6817201,285.2208187,277.2606306,277.3540948,268.356879,269.228578,261.5080465,259.0927996,250.9007836,254.4818359,1122.023269,19,41
,0.616200293,0.61635662,0.606984546,0.244728084,0.279568634,0.16186703,0.156297825,0.162222124,0.155953407,0.160946207,0.154370515,0.161233854,0.158129048,0.161556696,0.159617899,0.164166454,0.1644378,0.164022769,0.168467441,0.187543577,0.320431462,0.384427121,0.573192324,,,4.933333333,6.927641548,2.401975858,2.962584502,1.899104172,1.989070668,0.735553606,1.477018694,0.653272203,2.232122198,0.754443601,1.988881305,0.306320797,2.634632086,0.413928955,2.46277589,2.842411034,2.54241904,5.020797095,5.238233306,5.256340446,5.890237043,25691,254.2397586,258.1760963,262.7924339,266.0701572,292.8012328,292.091608,306.705564,312.272768,318.4907632,319.0705312,322.391318,323.1958261,323.7889118,323.599147,323.0943706,320.5216048,311.526016,309.2828009,291.7089288,296.5528028,280.5579353,276.7433281,262.8346196,258.458841,247.1258749,245.6178952,252.3710066,253.2597668,271.0038289,270.5801551,278.1273096,279.8851097,285.6804061,285.41064,290.8327085,289.3138202,291.5825829,292.1474229,289.2257626,289.4072189,280.3263537,281.6609501,273.4930491,271.4517166,266.3051264,259.5950874,250.3025722,251.362478,313.9973131,59,41
0.6615,0.64445864,0.655708411,0.639363655,0.353730111,0.307930546,0.231188161,0.211035648,0.234860645,0.210117438,0.242963241,0.207534667,0.242102796,0.206743656,0.243643757,0.205220215,0.240836444,0.209059111,0.237853399,0.215164731,0.298255512,0.259592226,0.623916329,0.582348537,,,,5.366666667,1.928666667,2.596412698,2.092266667,1.9772,0.593357143,2.165890909,0.845142857,2.899666667,1.257,3.254787879,0.6405,3.195333333,0.828095238,2.493236364,3.2992,2.7892,4.222666667,5.271333333,,6.4,24452,255.4214857,257.6483618,263.1697778,266.0865667,285.5569697,289.578,301.0404,308.86436,310.872,313.4078545,316.08248,316.7655,317.6260848,316.2419,314.9063636,314.0101667,305.1208,304.9295667,291.0917333,292.92304,280.34428,277.4910893,258.0668867,258.8915872,248.2551,245.8717818,251.44352,252.8957242,270.4365333,269.6553212,277.39984,278.7656,284.3536727,283.2013455,289.42168,287.0349333,290.5334545,290.1668,287.9743667,287.6223667,279.4406333,280.2141,271.4658533,270.01772,264.5770909,259.7469455,249.1357545,250.6286303,448.84,6,44
